"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Daikin Airconditioning (Singapore) Pte. Ltd.","At Daikin Singapore, we discover something new every day. “Perfecting The Air”, is our commitment and we strive to identify opportunities and seek solutions to make the air cleaner, healthier and more comfortable. As the only Japanese aircon specialist, Daikin applies cutting-edge technologies to enhance indoor air quality, providing the comfort of sophisticated air conditioning systems to thousands of Singaporeans’ homes as well as for commercial and industrial needs. 

Established in 1968, Daikin has grown with Singapore to achieve many milestones. Daikin was the first to introduce multi-spilt air-conditioning systems when the Housing and Development Board (HDB) was paving the way to house Singaporeans of growing affluence. As businesses boomed, Daikin introduced the world’s first super-efficient VRV Systems for commercial buildings in 1986. 

Recently, Daikin acquired BMS Engineering & Trading Pte Ltd with the aim to play a greater role in being one of the leading Systems Integrator of Building Management Systems, Integrated Facilities Management systems and Energy Efficiency Solutions in the region. Daikin offers comprehensive proposals for building-wide facilities and contracting services focused on cost reduction and service quality improvement. 

In line with Singapore’s green movement, Daikin recognises our role to reduce carbon footprints and promote eco-friendly air conditioning products and green building solutions. In 2020, Daikin partnered SP Group to provide Singapore’s first large-scale residential Centralised Cooling System at Tengah, a sustainable housing estate project of the future. Daikin is the only aircon manufacturer in the world to produce both air conditioning equipment and refrigerant. We are committed to reducing greenhouse emissions throughout the entire product life cycle, doing our best to lower the environmental impact of air conditioning. This is evident through the launch of eco-friendlier air conditioners using R32 refrigerant.","Appliances, Electrical, and Electronics Manufacturing","201-500 employees","Privately Held","Singapore","Singapore","daikin.com.sg","https://www.linkedin.com/company/daikinsg"
,"The Polyolefin Company (Singapore) Pte Ltd","TPC, The Polyolefin Company (Singapore) Pte Ltd is the first major polyolefin manufacturer in Southeast Asia and has been in operations since February 1984. A plant expansion in 1997 and subsequent major modification to increase capacity in 2006 has enabled TPC to become one of the largest and most successful polyolefin producers in the region.

A combination of strategic location, emphasis on quality and being able to deliver based on stringent customer requirements have ensured that TPC remain on the forefront in this industry. These major strengths have reflected in our ability to cope with regional demands for both quantity and quality.

TPC is committed to maintaining high standards with regards to products and services so as to grow with our customers in the 21st century and beyond. All aspects of our business are structured to meet these objectives.","Chemical Manufacturing","201-500 employees","Privately Held","Singapore","Singapore","tpc.com.sg","https://www.linkedin.com/company/the-polyolefin-company"
,"Hyphens Pharma International Ltd.","Listed on the Catalist board of the Singapore Exchange (SGX), Hyphens Group operates across Singapore (HQ), Vietnam, Malaysia, Indonesia, and the Philippines. Our marketing and distribution network extends to 14 additional markets — Bangladesh, Brunei, Cambodia, Hong Kong S.A.R., Macau S.A.R., Myanmar, South Korea, Sri Lanka, and the Gulf Cooperation Council countries: Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, and the United Arab Emirates.

Hyphens Group comprises 5 key business entities: Hyphens Pharma, DocMed Technology, Ocean Health, Novem, and Ardence Pharma, with core operations in three areas: Specialty Pharma Principals, Proprietary Brands, and Medical Hypermart and Digital.

Through exclusive distributorships and licensing agreements with global brand principals, we introduce specialty pharmaceutical products to selected ASEAN countries. Additionally, we develop, market, and sell our proprietary dermatological and health supplement products, across the region.

We also operate a medical hypermart, providing healthcare professionals, institutions, and retail pharmacies with essential pharmaceutical products and medical supplies.

[Scam Alert]
We’ve observed a rise in fraudulent job postings and communications from individuals falsely claiming to represent Hyphens Group. To protect yourself from these scams, please be aware: 

• Hyphens will never request payment for job consideration or application.
• We will never ask for personal information such as your date of birth, passport details, or bank account details unless you have applied via our official careers page or completed a legitimate application form.
• Hyphens will never direct you to third-party organizations to complete your job application process.
• Legitimate communication from Hyphens recruiters or HR will always come from an email address ending with @hyphens.com.sg.","Pharmaceutical Manufacturing","201-500 employees","Public Company","Singapore, Singapore","Singapore","hyphensgroup.com","https://www.linkedin.com/company/hyphens-pharma-international"
,"FUJIFILM Healthcare Asia Pacific","FUJIFILM Healthcare Asia Pacific is a leading provider of innovative diagnostic imaging solutions, dedicated to resolving the evolving challenges of healthcare facilities. 

Covering the operations in ASEAN, SAARC, and Oceania, its comprehensive portfolio of solutions includes Magnetic Resonance, Computed Tomography, X-Ray, Endoscopy, Mammography, Specialty Ultrasound systems, and Medical Informatics to elevate diagnostic confidence, improve efficiency, and support clinicians in providing the best patient care.

As a pioneer of innovative AI solutions, FUJIFILM Healthcare aims not only to develop innovative solutions, but also to pave the way forward for clinicians through our strong service care, and dedicated educational programs via FAHLA (Fujifilm APAC Healthcare Learning Academy).

Kindly note that the content on this page is intended for healthcare professionals or equivalent.","Medical Equipment Manufacturing","51-200 employees","Privately Held","Singapore","Singapore","fujifilm.com","https://www.linkedin.com/company/fujifilmhealthcareasiapacific"
,"LionsBot International","Proudly designed and made in Singapore, LionsBot is a growing name for autonomous smart floor cleaning robots. The company has won multiple accolades for its range of products including Interclean Innovation Award 2020, IF Design Award, Forbes Asia 100 to Watch, Financial Times’ list of High-growth companies. Today, the company proudly distributes over 2500 cleaning robots across 30 countries spanning Europe, the United States, the Middle East and Asia, with subsidiaries in the United Kingdom, United States, India, and the Netherlands.","Automation Machinery Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","lionsbot.com","https://www.linkedin.com/company/lionsbot"
,"Dornier MedTech","Dornier MedTech is a medical device company headquartered near Munich, Germany, and is a full subsidiary of Advanced MedTech. As a pioneer in the field of urology, Dornier is one of the most trusted names in the industry.
 
Our recent developments in laser technology, complemented by our comprehensive suite of consumables, represent a significant stride in our pursuit of excellence. These advancements underscore our unwavering commitment to improving clinical performance and driving innovation in endourology.
 
As the world’s first MDR-certified integrated urology company and one of the original founders of the Urology Care Foundation, we maintain the highest standards of patient safety and product efficacy.
 
Today, we are pushing the envelope in digital urology to provide holistic care to patients seeking treatment and community support in their recovery journey, through online and in-person channels.
 
Trusted by thousands of physicians and patients, Dornier is committed to serving and supporting our urology communities worldwide.","Medical Equipment Manufacturing","201-500 employees","Privately Held","Singapore, Singapore","Singapore","dornier.com","https://www.linkedin.com/company/dornier-medtech"
,"Phoenix Contact (SEA)","Phoenix Contact is a globally present, Germany-based market leader. Our group is synonymous with future-oriented components, systems, and solutions in the fields of electrical engineering, electronics, and automation. A global network across more than 100 countries and 17,600 employees ensure close proximity to our customers, which we believe is particularly important.","Automation Machinery Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","phoenixcontact.com","https://www.linkedin.com/company/phoenixcontactsea"
,"Tessa Therapeutics Ltd","Tessa Therapeutics is a clinical-stage biotechnology company developing next-generation cell therapies for the treatment of hematological cancers and solid tumors. Tessa’s autologous CD30-CAR-T therapy TT11, is currently being investigated as a potential treatment for relapsed or refractory classical Hodgkin lymphoma as both a monotherapy (Phase 2) and combination therapy (Phase 1b). TT11 has been granted RMAT designation by the FDA and access to the PRIME scheme by European Medicine Agency. Tessa is also advancing an allogeneic “off-the-shelf” cell therapy platform targeting a broad range of cancers in which Epstein Barr Virus Specific T Cells (EBVSTs) are augmented with CD30-CAR. This platform is currently the subject of a Phase 1 clinical trial in CD30-positive lymphomas. Tessa has its global headquarters in Singapore, where the company has built a state-of-the-art, commercial cell therapy manufacturing facility. For more information on Tessa, visit www.tessacell.com.","Biotechnology Research","51-200 employees","Privately Held","Singapore, Central Singapore","Singapore","tessacell.com","https://www.linkedin.com/company/tessa-therapeutics-ltd"
,"Intrinseque Health","Founded and managed by Drug Development industry professionals, Intrinseque Health is an EN ISO 13485, ISO 9001, ISO 27001 and GDPMDS certified, Global Clinical Development support organization, assisting biopharmaceutical, biotechnology and drug development companies with their clinical development programs. Drug Development industry professionals, who understand the hurdles and pain-points of conducting a clinical trial.

In order to ensure that medical devices, equipment and supplies reach sites on time, are installed & calibrated (IQ OQ PQ), site officials are trained on ‘instructions of use’, development of a robust supply chain strategy and management of ancillary supplies at sites for entire duration of life-cycle of a clinical trial is a must but is often undermined which, affects the study timelines.

Every region/country presents its own unique regulatory & logistical challenges while ensuring product/supplies/equipment available for a clinical study. Intrinseque Health provides Project Management-based, global clinical supply chain solutions to its clients. Our Operation Methodology is based on development of a pressure-tested/full-proof & cost effective clinical supply chain strategy for each clinical trial / project. We believe in engaging at an early stage with our clients for their clinical & non-clinical supply needs, before initiation of a clinical trial.","Pharmaceutical Manufacturing","11-50 employees","Privately Held","Singapore, Singapore","Singapore","intrinsequehealth.com","https://www.linkedin.com/company/intrinsequehealth"
,"Transmedic Group","At Transmedic, a company of EBOS MedTech, we believe healthcare professionals and patients should have access to world-leading medical devices, whilst ensuring long-term economic sustainability within the healthcare system. As a leading independent distributor of medical technology, we bring innovative medical solutions to healthcare professionals by partnering with world leading companies who share our vision for innovation.

Our Regional Footprint - Singapore (Headquarters) | Malaysia | Thailand | Indonesia | Hong Kong | Philippines | Vietnam","Medical Equipment Manufacturing","501-1,000 employees","Privately Held","Singapore","Singapore","transmedicgroup.com","https://www.linkedin.com/company/transmedicgroup"
,"SixSense","Founded by alumni from IIT and NIT, and funded by top investors in Asia, SixSense is a Singapore and India based startup in the AI space. We have built a no-code platform that allows users to build, monitor and maintain deep learning models for computer vision applications. 

Currently our platform is primarily used by manufacturing engineers, to build AI models that can detect and classify defect in images. Using SixSense AI platform, they are transitioning from their decade old process of inspection using manual labour or rule-based systems, to a much efficient and scalable AI based technology.","Automation Machinery Manufacturing","11-50 employees","Privately Held","singapore, Singapore","Singapore","sixsense.ai","https://www.linkedin.com/company/sixsense-pte-ltd"
,"Gaussian Robotics","Gaussian Robotics Pte Ltd is a wholly owned subsidiary of SIMPPLE Ltd. (NASDAQ:SPPL). At Gaussian Robotics, our autonomous floor cleaning robots automate cleaning tasks to achieve improved productivity and performance for the industry. Reach out to us for more info.","Automation Machinery Manufacturing","11-50 employees","Privately Held","Singapore , Singapore","Singapore","gaussianrobotics.com","https://www.linkedin.com/company/gaussianrobotics"
,"Guardant Health AMEA","Guardant Health AMEA is a wholly owned subsidiary of Guardant Health, a leading precision oncology company focused on guarding wellness and giving every person more time free from cancer. Founded in 2012, Guardant is transforming patient care by providing critical insights into what drives disease through its advanced blood and tissue tests, real-world data and AI analytics. Guardant tests help improve outcomes across all stages of care, including screening with Shield to find cancer early, monitoring for recurrence in early-stage cancer, and helping doctors select the best treatment for patients with advanced cancer.","Biotechnology Research","11-50 employees","Public Company","Singapore, Singapore","Singapore","guardanthealthamea.com","https://www.linkedin.com/company/guardanthealthamea"
,"Clearpack Group","Clearpack is a leading provider of Automatic packaging solutions for Food, Beverage, Home and Personal care, Pharma and Chemical products. We are a 600+ people strong, stable, and well organised group with proven expertise in filling, end-of-line, and complete line engineering solutions. We are leading the industry with Best in Class Packaging Automation using Robotics, AGV’s, Digitalisation including factories of future with advanced technology systems.

With our network of offices, R&D and production facilities and a dedicated team of packaging professionals across South East Asia, India, China, Middle East, and Europe we deliver excellent value to our customers by:
•	Manufacturing & sales of Net Weight Filling and End of Line machines in our facilities in India and other locations
•	Distributing some packaging equipment from our global partners 
•	Providing total services from finalising the project specifications to Installation commissioning and after sales service & spare parts

We owe our success to our esteemed customers and our reliable partners, both inspiring us to deliver ""Customer Delight"" and not mere satisfaction. It is an endeavour we take very seriously.

We are providing mentioned below automatic packaging machines-
Automatic shrink wrapping machine
Automatic sticker labelling machine
Shrink bundling machines
Case packer/carton packaging
Robotic Palletizers
Complete turnkey line
Automation packaging solutions","Machinery Manufacturing","501-1,000 employees","Privately Held","Singapore","Singapore","clearpack.com","https://www.linkedin.com/company/clearpack-group"
,"Structo","The Future Is Personalised.

Structo is a 3D printing solutions provider with a mission to build a completely personalised future through digital factories. Using innovative and proprietary technology, we develop novel digital manufacturing solutions to solve challenging manufacturing problems across industries. With expertise in additive manufacturing hardware, material sciences, software and automation systems, we deliver application-specific solutions to empower new manufacturing methods and scalable unit economics.","Automation Machinery Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","structo3d.net","https://www.linkedin.com/company/structo-pte-ltd"
,"OneSmile | Proactive Orthodonics","At OneSmile, we're building the future of orthodontics. We believe the journey to a beautiful smile should be as confident as the result, and that an expert's vision - backed by smart technology - creates the best outcomes. 

This is Proactive Orthodontics. Our system moves beyond reactive treatment, empowering providers with predictive technology to design with confidence and eliminate guesswork. This creates a smarter workflow, enabling our partner clinics to build their reputations on superior, trusted outcomes. 

For patients, it means a more transparent and controlled journey to a beautiful, healthy smile that’s an asset for life - a result we guarantee for 10 years. 

The Future is Proactive. Future-Proof Your Smile. 

Operating across Australia, New Zealand and Southeast Asia, we are on a mission to unlock confidence in every smile.

OneSmile Pte Ltd Singapore, the company behind OneSmile","Medical Equipment Manufacturing","11-50 employees","Self Owned","Singapore","Singapore","one-smile.com","https://www.linkedin.com/company/onesmileglobal"
,"Prestige Biopharma Group (Prestige Biopharma / Prestige Biologics)","Prestige Biopharma (PBP) is an innovative biopharmaceutical company specializing in the discovery and development of innovative biologics and biosimilars. PBP1510 (Ulenistamab) is the First-in-Class Pancreatic Cancer drug which is on the stage of 1/2a global clinical phase. Based on our innovative biomarker, PAUF, we are continuing the challenge for overcoming hard-to-treat diseases such as pancreatic cancer.  
We are developing biosimilars to contribute on the patient's drug accessibility. Over 12 biosimilars we have been developing since 2015.

And also, we are expanding the application of PAUF biomarker to the diagnostics. To expand the effectiveness of pancreatic cancer treatment, we are developing the diagnostic device.  

The primary focus of current PBP’s R&D is oncology and immune disorders, developing new and similar antibody drugs for solid tumor, pancreatic cancer, and arthritis. In parallel with our efforts to enhance safety, efficacy, and affordability of existing antibody therapeutics, PBP thrives to search for new targets and candidates with a goal to free mankind from devastating diseases

Established on core values cherishing life and fostering the spirit of philanthropy, Prestige BioPharma promises to grow everyday to make our dream come true.","Pharmaceutical Manufacturing","201-500 employees","Public Company","Singapore","Singapore","prestigebio.com","https://www.linkedin.com/company/prestige-biopharma"
,"OTSAW","OTSAW is a global robotics company revolutionizing healthcare facilities with patented AI-driven robotics and advanced Operations Technology solutions. Our healthcare-focused solutions combines integrated proprietary outdoor and indoor capabilities, setting us apart in the industry. 

We have deployed 1000+ robots in 20+ countries, in 50+ hospitals around the world. Tallying over 3 million days of robot operations. 

Media enquiries: PR@otsaw.com
Sales enquiries: sales@otsaw.com","Automation Machinery Manufacturing","51-200 employees","Privately Held","Tampines","Singapore","otsaw.com","https://www.linkedin.com/company/otsaw-digital"
,"SPD Scientific","As part of Biomedia Holdings, SPD Scientific delivers integrated solutions across In-Vitro Diagnostics, Life Science & Translational Research, Microbiology, and Laboratory & Industrial Essentials. We provide high-quality products and technologies that support clinical diagnostics, advanced research, microbial testing, and day-to-day laboratory operations across healthcare, academic, and industrial sectors.

With a strong regional presence and cross-functional expertise, we serve customers throughout Asia with tailored solutions and dedicated support. From consultation to implementation and post-sales service, our teams ensure reliable performance, regulatory compliance, and exceptional value at every stage.","Medical Equipment Manufacturing","201-500 employees","Privately Held","Singapore","Singapore","biomediaholdings.com","https://www.linkedin.com/company/spd-scientific-pte-ltd"
,"EndoMaster Pte Ltd","EndoMaster is a medical device company that is developing a novel robotic-assisted surgical system that will significantly advance current endoscopic surgeries. This will enable surgeons to perform incision-less surgery that could only be performed by open and laparoscopic surgery before.","Medical Equipment Manufacturing","11-50 employees","Privately Held","Singapore","Singapore","endomastermedical.com","https://www.linkedin.com/company/endomaster-pte-ltd"
,"Bromma","Bromma is the industry's most experienced spreader manufacturer, known worldwide for crane spreaders of exceptional reliability. Today Bromma manufactures more than 2000 spreaders per year of all types. Bromma spreaders are in use in 99 out of the top 100 ports worldwide.","Machinery Manufacturing","501-1,000 employees","Public Company","Singapore","Singapore","bromma.com","https://www.linkedin.com/company/bromma"
,"Hummingbird Bioscience","Hummingbird Bioscience is a precision biotherapeutics company discovering and developing transformative biologics for hard-to-treat diseases. The Hummingbird Bioscience model combines computational and systems biology, and wet lab drug discovery in a multi-disciplinary, collaborative environment spanning initial discovery through clinical development. We harness this integrated approach across target identification and patient selection, enabling our team to increase the efficiency of translating novel scientific insights while reducing the inherent risk in drug discovery and development. At Hummingbird Bioscience, our commitment to rigorous science, teamwork, and intellectual integrity underpins our passion to accelerate the journey of new drugs from concept to clinic. 

Sign up for our updates here: https://bit.ly/HMBDNews","Biotechnology Research","51-200 employees","Privately Held","Singapore","Singapore","hummingbirdbioscience.com","https://www.linkedin.com/company/hummingbird-bioscience"
,"PanBlast","Recognizing that the global blast cleaning industry had a requirement for a world class supply chain partner, PanBlast has evolved over the years with workflow management systems, good manufacturing practices and quality control processes, also known as ""Dynamic Manufacturing"". Products are sold globally via a multi-tier distribution sales model.","Industrial Machinery Manufacturing","51-200 employees","Privately Held","Singapore","Singapore","panblast.com","https://www.linkedin.com/company/panblast"
,"HOPE Technik","HOPE Technik is a Singapore-proud engineering firm that has been evolving the industry landscape with its technological innovations since 2006. The company’s unique structure empowers each of its businesses to develop world-class products and prototype innovative solutions for its global clients. Regardless of how unusual a project may be, HOPE Technik’s dedicated team of qualified engineers and technical staff are committed to translate concepts into reality.

See our community guidelines here: https://bit.ly/31OXD7G","Industrial Machinery Manufacturing","51-200 employees","Privately Held","Singapore, Singapore","Singapore","hopetechnik.com","https://www.linkedin.com/company/hope-technik"
,"Mitsubishi Heavy Industries Engine System Asia (MHI-ESA)","We are a part of Mitsubishi Heavy Industries Group, the Asia-Pacific and Oceania Headquarter, sharing its global commitment to using technology and engineering to be a leading producer of quality engine & generator set products. 

We are committed to earning the trust of our customers by offering an experience of reliability. Working closely with our broad network of advanced partners, we diligently apply our expert approach to creating excellent products, and practical solutions. Using the power of collaboration to help support sustainable societies.

Our brand is powered by the following four values;
- Brand Reliability
- Product Quality
- Advanced Partnerships
- A Global Reach

This is what it takes to move the world forward.","Industrial Machinery Manufacturing","201-500 employees","Privately Held","Singapore","Singapore","mhiesa.com","https://www.linkedin.com/company/mitsubishi-heavy-industries-engine-system-asia"
,"Allozymes","Allozymes is a biotechnology company redefining enzyme engineering through its proprietary ultra-high-throughput microfluidic and AI-driven screening platform. By integrating biocatalysis, enzyme discovery, and microfluidic innovation, we accelerate the development of tailored enzymes for biomanufacturing, pharma, and life sciences. With a vision to build the world’s most comprehensive enzyme data library, Allozymes is enabling faster discovery, smarter optimization, and sustainable production across industries.","Biotechnology Research","11-50 employees","Privately Held","Singapore, Singapore","Singapore","allozymes.com","https://www.linkedin.com/company/allozymes"
,"NalaGenetics","NalaGenetics was built with the passion to make preventive, DNA-based precision healthcare accessible to as many people as possible.

Specifically, catalyzed by the founders’ personal experiences of problematic medication side effects and knowledge of what genetic testing can offer, NalaGenetics aims to help people achieve better nutrition and prescription medication outcomes by analyzing their unique DNA.
 
Today, NalaGenetics’ solutions are trusted by a growing number of healthcare providers, laboratories, insurers, and corporates in Asia and Europe. We have also won government grants and mandates to carry out genomic research projects from the Government of Singapore and others.

These achievements reflect the company’s exceptional standards and depth of research as a scientist-led company, along with a commitment to delivering best-in-class genomic solutions.

Find out more about us at www.nalagenetics.com","Biotechnology Research","11-50 employees","Privately Held","Bukit Merah","Singapore","nalagenetics.com","https://www.linkedin.com/company/nalagenetics"
