"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"SAA Architects Pte Ltd","SAA is a leading full-service architecture practice headquartered in Singapore. With over 50 years of design and built expertise, we are committed to excellence in the design and delivery of people-oriented architecture. 

Guided by our core values of being Urbanistic, Humanistic, and Optimistic, our practice delivers projects that connect and engage seamlessly with the built environment; creating meaningful relationships by placing people and communities at the centre of our design.

SAA is a member of the Surbana Jurong (SJ) Group, a diverse and collaborative collective of problem-solvers for the built environment, continually reimagining ways to create a smart and sustainable future. As one of SJ’s 10 member companies, SAA is part of a global network of professionals in more than 120 offices in over 40 countries. 

The SJ architecture studio within the Surbana Jurong Group is now working together with SAA Architects. Together, we are a larger group of architectural professionals practising as an integrated team and a combined portfolio of work.

Today, nearly 300 multinational professionals from SAA collaborate closely with partners and clients, responding to design challenges in an increasingly complex and technology-driven world; bringing specialist expertise across sectors and typologies.","Architecture and Planning","201-500 employees","Privately Held","Singapore","Singapore","saaarchitects.com.sg","https://www.linkedin.com/company/saa-architects-pte-ltd"
,"Tremco Construction Products Group, Asia Pacific","Tremco Construction Products Group APAC has served as the benchmark for excellence and quality products since our first entry into the Asia Pacific market in 1984. Our commitment to serving our clients in a variety of areas with innovative and strategic technology products has allowed us to consistently grow for over 30 years. As of 2020, we have established a strong business presence in countries including Australia, Singapore, Malaysia, Indonesia, South Korea, Japan, Taiwan, China, Vietnam, Philippines, and Thailand.

Tremco Construction Products Group APAC is a subsidiary of Tremco Inc. based in Cleveland, USA. Our product lines include high-performance silicone and urethane joint sealants, waterproofing membranes, drainage protection, air barrier systems, deck coatings, expansion joints, a full line of passive fire protection systems, and the industry’s only comprehensive line of glazing systems including silicone sealants, tapes, gaskets, and setting blocks. Our brands include Tremco, illbruck, Flowcrete, Vandex, Nullifire, Dryvit, Nudura, Willseal, Euclid Chemical, as well as USL brands including Pitchmastic, Matacryl, Nufins, PDS, and Prime Resins.

Along with our team of experienced and highly skilled sales representatives in every major market throughout Asia Pacific, we are positioned to aid with specification development, application-specific product development, problem-solving and assistance on-site. So, when it comes to protecting and weatherproofing the entire building envelope, Tremco Construction Products Group APAC is the best choice for single-source products, services and solutions.","Construction","201-500 employees","Public Company","Singapore, Singapore","Singapore","tremcocpg-asiapacific.com","https://www.linkedin.com/company/tremco-cpg-apac"
,"Schueco Singapore","Today, aspects of protecting the climate and the environment are the basis for pioneering, economical building. At the same time, these buildings must satisfy the increasing demands of building users for air conditioning, thermal insulation and sound reduction. As the leading systems provider of the latest window, door and façade technology, Schüco is responding to this challenge. With a tried-and-tested product range and tailor-made project solutions for a wide variety of building designs for private homes, commercial and industrial projects. The benefit is innovative German system technology, the highest quality standards in energy efficiency, security, comfort and design – fabricated by and installed by selected local partners. Therefore, Schüco Southeast Asia provides an efficient regional network of architects, investors and fabricators, which addresses every local challenge and implements projects which are ground-breaking for Southeast Asia.","Architecture and Planning","11-50 employees","Privately Held","Singapore, Central","Singapore","schueco.com","https://www.linkedin.com/company/schueco-southeast-asia"
,"NUS Department of Civil & Environmental Engineering","The Premier Civil and Environmental Engineering Department in Singapore","Civil Engineering","51-200 employees","Educational","Singapore","Singapore","nus.edu.sg","https://www.linkedin.com/company/nus-department-of-civil-environmental-engineering"
,"PURETECH ENGINEERING PTE LTD","Puretech Engineering Pte Ltd was first known as Puretech Electrical Engineering Services in May 1995. Our company developed a fine-tuned and successful synergy between innovative and creative technical and electrical solutions. In order to have better growth in size and capability, our company was incorporated as a private company in 18 April 2001.
 

With 20 years of experience and a wealth of knowledge and expertise, we have been principally engaged in the provision of specialist in Mechanical & Electrical engineering services. 

We believe established quality management system is one of the main factors contributing to our success and is crucial to us maintaining our reputation as an established service provider. As such, we are dedicated to provide highest quality in both services and products to fulfill our customer’s needs and requirement. Besides, we have implemented control procedures to maintain the quality of our workmanship and the timely completion of our projects.","Construction","201-500 employees","Privately Held","Singapore","Singapore","puretech.com.sg","https://www.linkedin.com/company/puretech-engineering-pte-ltd"
,"Kajima Overseas Asia (Singapore) Pte. Ltd.","Kajima Overseas Asia Singapore (KOAS) has strong Asian roots as we have been developing Singapore for more than 65 years. 

With more than 167 projects successfully completed, we have strong vision to continue being a responsible, reliable and committed construction partner for Singapore development for the next 65 years and more.

In Kajima, we focus on creative progress and development based on rational, scientific analysis and humanitarian outlook to continue advancing our business operation and contribution to society.

Aiming to develop a sustainable business in Singapore with a balance portfolio between public and private projects focusing on office, hospitality, healthcare, A&A works, mix-used development, industrial, semiconductor, data centre, commercial and retail.","Construction","201-500 employees","Privately Held","Singapore","Singapore","koas.com.sg","https://www.linkedin.com/company/kajima-overseas-asia-singapore-pte-ltd"
,"Steven Leach Group","As your partners in creative solutions, you are our focus.

With that in mind, we have moved beyond just being the most established Interior Design Consultancy firm in East Asia and increased our service offering with new expertise areas and partnerships to provide you with holistic answers.

As a team we create award winning projects in interior, architectural and sustainable design
that provide a fresh approach to each challenge.

Your projects mean as much to us as they do to you; they impact your present and your future as well.

Here’s to working together!","Architecture and Planning","201-500 employees","Privately Held","Singapore / Kuala Lumpur / Tokyo / Seoul / Shanghai / Bangkok / Hong Kong / Taipei","Singapore","sla-group.com","https://www.linkedin.com/company/stevenleachgroup"
,"Park + Associates Pte Ltd","Park + Associates seeks to create coherent spaces where function and beauty speak a common language. For the firm, the dialogue of architectural elements shapes a space, takes it beyond its everyday, functional character. It is with this ethos that Park + Associates pursues a vision of architecture as a fundamental articulation of space and form, through which beauty and purity can be discovered.

The firm’s strategy is one of subtraction and control to preserve the necessary simplicity of spaces. Each project is undertaken with a rigorous eye for detail, placement and materials, with an artistic sensitivity to the “intangibles” of light, space and form. Charting a journey for the user in an unique space; creating sophisticated spaces that inspire, invigorate, and refine the senses – that is what Park + Associates sets out to achieve.

In tandem with its explorations of spaces, the firm remains sensitive to environmental concerns, seeking to appropriate eco-friendly materials and strategies into each project.","Architecture and Planning","51-200 employees","Privately Held","Singapore, Singapore","Singapore","parkassociates.com.sg","https://www.linkedin.com/company/park-associates-pte-ltd"
,"Powen Engineering Pte Ltd","As one of Singapore's leading Mechanical and Electrical (M&E) engineering service specialists, Powen provides full suite of integrated M&E engineering solutions and technical competencies. 

Guided by decades of experience and expertise built up by a team of trusted and committed workforce, Powen has successfully executed more than 500 projects in Singapore and in the region.","Construction","51-200 employees","Privately Held","Bukit Batok","Singapore","powen.com.sg","https://www.linkedin.com/company/powen-engineering"
,"Swan & Maclaren Group","As Singapore’s pioneer architectural firm, Swan and Maclaren began our humble beginnings in 1892 with landmarks such as the Raffles Hotel, Goodwood Park Hotel, Victoria Theatre and Concert Hall, Tanjung Pagar Railway station and many more. These buildings not only withstood the test of time but are often showcased as one of Singapore’s pride. We are now present across Asia and internationally with offices in Hong Kong SAR, China, United Kingdom, Vietnam, Malaysia, Thailand, Saudi Arabia and Singapore as our global headquarters. Together with our partners, our businesses have expanded beyond Architecture & Design, and presently include Immersive Experience Design and Build, Green Technology and Build, and soon, Luxury Senior Residences management.","Architecture and Planning","51-200 employees","Privately Held","83 Clemeceau Avenue #12-03 UE Square","Singapore","swanmaclaren.com","https://www.linkedin.com/company/swan-maclaren"
,"AlfaTech Asia","AlfaTech in Asia provides turnkey projects solution from consulting, design, build, and project management to facility management across Asia. Our expertise covers key construction sectors such as:
 
-          Industrial 
-          Office
-          Lifestyle
-          Clean Room   
-          Healthcare
-          Agri Technology
 
AlfaTech’s technical capabilities, innovative IoT, and engineering expertise enable to propose smart innovative, and effective turnkey solutions with early risk transference and certainty of schedule and budget.
Our work process place the client’s benefice at the center of everything we do, we deliver a bespoke solution for each of our customer.
 
AlfaTech proactively participates in the R&D of the world’s smartest and most sustainable building solutions. We are a team of LEED and Green Mark Accredited Professionals that build to save and know how to quantify the economic benefits our clients that can be achieved throughout the lifecycle of their facility.","Construction","51-200 employees","Privately Held","Singapore, Singapore","Singapore","atce.com.sg","https://www.linkedin.com/company/atvasingapore"
,"Ramboll Studio Dreiseitl","As per April 2023, Ramboll Studio Dreiseitl became part of the international, award-winning design studio Henning Larsen. 

While the name of our studio will change, our leadership team, landscape service offering, and ongoing contracts will remain.

Please follow Henning Larsen to stay in the loop on projects, news, events, and job opportunities.","Architecture and Planning","51-200 employees","Privately Held","Singapore","Singapore","henninglarsen.com","https://www.linkedin.com/company/ramboll-studio-dreiseitl"
,"DSCO Group","Established in 1991, DSCO Group is a trusted M&E Engineering Consultancy with a proven track record in mission-critical facilities across Asia Pacific.

For over three decades, we have built our reputation as Specialist Data Centre and Mission-Critical M&E Design Consultants, delivering engineering solutions that balance reliability, innovation, and efficiency.

At DSCO, our vision is to be the Data Centre consultant of choice in the Asia Pacific region. We achieve this by forging strong partnerships and unlocking opportunities for our clients through a blend of analytical precision and creative problem-solving. Our approach ensures innovative yet practical solutions that deliver tangible, measurable benefits.

Beyond design, we support our clients with risk management and value-driven decision support, empowering them to make informed choices with confidence. From concept to execution, we focus on delivering excellence, resilience, and long-term value in every project","Construction","51-200 employees","Privately Held","Singapore","Singapore","dscogroup.com","https://www.linkedin.com/company/dsco"
,"Readymix","Readymix is a privately held company in the concrete, aggregates and cement business. Founded in 1962, our principal markets are now Vietnam and Brunei. Readymix employs around 300 staff and is headquartered in Singapore. Visit our website at: readymix.com.sg","Construction","51-200 employees","Privately Held","Singapore","Singapore","readymix.com.sg","https://www.linkedin.com/company/readymix"
,"DJ Engineering and Construction Pte Ltd - DJEC","DJ Engineering and Construction Pte Ltd (DJEC) is the CAD/BIM consultancy arm of DJB Group. 

As part of an international property development and construction firm, DJEC provides professional support for Consultants and Contractors for all their project requirements across all Architecture, MEP, and Structure services. 

DJEC is also committed to the constant growth and enhancement of our employees, with skill-upgrading programs offered through various HR support schemes.","Construction","51-200 employees","Privately Held","Singapore, Singapore","Singapore","djengrg.com","https://www.linkedin.com/company/dj-engineering-and-construction-pte-ltd-djec"
,"Urban Climate Design Lab","A multidisciplinary group working on urban climate sustainability and resilience at the National University of Singapore","Architecture and Planning","11-50 employees","Educational","Singapore","Singapore","nus.edu.sg","https://www.linkedin.com/company/urban-climate-design-lab"
,"TUCSS - Tunnelling and Underground Construction Society (Singapore)","The formation of the tunnelling and underground construction society in Singapore begun in September 1997. A self-appointed Protem Committee was then formed in January 1998. 


The Protem Committee represented significant interest from both government and private sectors. The application of setting up the Tunnelling and Underground Construction Society was submitted to the Registry of Societies on 4 February 1998, and approval was given on 13 May 1998.

 

Vision and Mission

to promote technical and professional development of members through meetings, seminars and other forms of communication and through study of tunnelling and underground construction practice;
to achieve closer personal acquaintance and spirit of cooperation among members;
to interact with other professional organization in matters of common interest;
to promote tunnelling and underground construction research and education and dissemination of tunnelling and underground construction related information; and
to advance the standards of tunnelling and underground construction practice.","Civil Engineering","2-10 employees","Non Profit","Singapore","Singapore","tucss.org.sg","https://www.linkedin.com/company/tucss"
,"Artemis Executive Solutions","Artemis Executive Solutions are leading recruitment specialists serving the Construction & Engineering | Project Management markets across the globe.

https://www.careers-page.com/artemisexecutivesolutions

Led by Ms Sumitra Nathan with circa 13 years of recruitment history and peerless market knowledge within our niches and network enables us to deliver strategic and consultative recruitment solutions. Supported by a solid research affiliate network across the globe, we have become proficient at sourcing talent for ground-breaking projects.

Follow our chats for job updates on the go.
Telegram: t.me/artemisessg
Wats App: https://chat.whatsapp.com/G5mhMQMO9G6DhbVILEhHkG","Construction","2-10 employees","Privately Held","Singapore","Singapore",,"https://www.linkedin.com/company/artemis-executive-solutions"
,"JGC ASIA PACIFIC PTE. LTD.","JGC Asia Pacific Pte. Ltd stands as a pillar of engineering excellence in Singapore, delivering complex and innovative projects that drive industrial growth and sustainability. With a strong focus on sustainability, digital transformation, and community engagement, JGC Asia Pacific is well-positioned to continue its significant contributions to Singapore and the surrounding South East Asian countries' industrial landscape and to support the region's vision for a sustainable and technologically advanced future.","Construction","201-500 employees","Public Company","Singapore, Singapore","Singapore","jgc.com.sg","https://www.linkedin.com/company/jgc-asia-pacific-pte.-ltd."
,"GS Engineering & Construction – Hock Lian Seng Infrastructure Joint Venture","GS Engineering & Construction (GSEC) and Hock Lian Seng Infrastructure (HLS) Joint Venture (GS-HLS JV) was awarded the Land Transport Authority (LTA) of Singapore the Contract 911 (C911).

GSEC was founded in 1969, the company provides engineering and construction services to a variety of industries.  Formerly LG Engineering & Construction, the company was renamed as GS Engineering & Construction in 2005.

HLS was established since 1969, the company is currently registered as an A1 contractor in civil engineering with the Building Construction Authority of Singapore and have an L5 ranking in piling works as well as B1 ranking in building works.","Construction","51-200 employees","Partnership",,"Singapore","gsconst.co.kr","https://www.linkedin.com/company/gs-engineering-&-construction-hock-lian-seng-infrastructure-joint-venture"
,"CADG","CADG delivers comprehensive construction, engineering, facilities O&M, logistics, aviation, and medical services in challenging locations worldwide. Founded in 2002, CADG has successfully delivered on 500+ projects in over 25 countries in Africa, the Middle East, and Southwest Asia while supporting a wide range of diplomatic, defense, peacekeeping, stability operations, and capacity building programs.","Construction","201-500 employees","Privately Held","Singapore","Singapore","cadg.com","https://www.linkedin.com/company/central-asia-development-group-cadg-"
,"Wee Guan Construction","Wee Guan Construction is a leading construction and civil engineering company headquartered in Singapore. Established in 1991, the company has grown into a trusted partner in the development of Singapore’s critical utility infrastructure network, specializing in the installation of power cables, telecommunication systems, and cable TV developments.

With a strong focus on safety, quality, and environmental responsibility, Wee Guan Construction consistently delivers projects that meet the highest standards of excellence. The company’s expertise also extends to a wide range of civil engineering works, including road works, drainage, and other essential infrastructure projects.

In 2020, Wee Guan Construction achieved a significant milestone by listing on the Hong Kong Stock Exchange under the name Wei Yuan Holdings Limited, reflecting its strategic vision to expand regionally and strengthen its market presence.

Our dedicated team of professionals is committed to providing reliable, innovative, and sustainable solutions that support Singapore’s infrastructure needs and contribute to the nation’s growth.","Construction","201-500 employees","Self Owned","kranji","Singapore","weeguan.com.sg","https://www.linkedin.com/company/weeguan"
,"Delta Marine Consultants Singapore","Delta Marine Consultants Singapore operates for clients worldwide covering a wide array of branches in the maritime engineering field. Our work is embedded in the construction industry through our parent organisation Royal Van Oord, a global marine contractor with a focus on dredging and marine construction, offshore wind, offshore infrastructure, and infrastructure in the Netherlands. This has created the ability to blend innovation with best practice in design and to provide practical solutions to fulfil stakeholder requirements.

Our clients include Central Governments, Port Authorities, Industrial Companies and Private Entrepreneurs. Through frequent liaison with local firms in overseas projects, consistent working relationships with companies in various countries around the world have been built up. Our services are tailored to suit the needs of clients and may include the full range of services from technical due diligence studies, full design to project management and contract services. Delta Marine Consultants Singapore is both able to lead or to form part of a multidisciplinary team for a particular project.","Civil Engineering","11-50 employees","Privately Held","Singapore, Singapore","Singapore","deltamarineconsultants-sg.com","https://www.linkedin.com/company/delta-marine-consultants-singapore-pte-ltd"
,"G8A Architecture & Urban Planning","G8A is an architecture, urban planning and interior design company with offices in Geneva, Hanoi, Ho Chi Minh City and Singapore.

From design principles originally established in Switzerland, and with projects being developed in Asia for over a decade, G8A holds a unique position in contemporary architectural practise. Educated in the West, then learning from the contrasting context of the East, the company has been able to strengthen their designs by not only broadening their scope of knowledge but honing a precise and systematic application of innovative strategies and proposing a new architectural cohesion.

G8A’s projects feature regularly in local and international publications. All of the firm’s senior architects participate actively in professional associations, both in Switzerland and South-East Asia. G8A is also part of the theoretical debate in architecture through its involvement in a number of lectures and teaching endeavors internationally.","Architecture and Planning","11-50 employees","Privately Held","Singapore","Singapore","g8a-architects.com","https://www.linkedin.com/company/group8asia"
,"ECAS Consultants Pte Ltd","ECAS Consultants Pte Ltd offers a comprehensive suite of services, Design Consultancy, Construction Supervision, Assessment and Inspection, Project Management and Accredited Checking Services in areas such as real estate, infrastructure, institutional, industrial, transportation, and utilities. 
We are blessed with the opportunity to engage in significant projects, including initiatives from the Land Transport Authority, developments by the Housing and Development Board, and collaborations with the Public Utilities Board and Changi Airport Group. 
We value our past achievements and remain committed to continuous improvement, productivity, innovation, and sustainability as we strive to set exemplary standards both in Singapore and beyond.","Civil Engineering","51-200 employees","Privately Held","Singapore","Singapore","ecas.com.sg","https://www.linkedin.com/company/ecasconsultants"
,"Obayashi Construction-Tech Lab Singapore","Obayashi Construction-Tech Lab Singapore is the first overseas R&D facility of Obayashi's Technology Research Institute. It was established in 2024 as a successor to Obayashi's Asia Digital Lab.  
 
We will be focusing on R&D contributing to innovation in the construction industry, with an initial focus on robotic construction.
 
We look forward to partnering with regional ecosystem players to achieve our goals and drive forward the industry together.","Construction","11-50 employees","Public Company","Singapore","Singapore","obayashi.co.jp","https://www.linkedin.com/company/obayashi-construction-tech-lab-singapore"
