company_name,category,description,website,phone,email,detail_url
HEN TICK FOODS PTE LTD,Chickens - Importers & Exporters,"We are a main importer/exporter/wholesaler and distributor of chilled, fresh frozen foods and manufacturer of RTC, RTE food products in Singapore for over 40 years...",https://hentick.com.sg,(65) 6268 1715,sales@hentick.com.sg,https://www.agri-biz.com/company-details/hen-tick-foods-pte-ltd/
HIAP GIAP FOOD MANUFACTURE PTE LTD,Noodles,"Hiap Giap Food Manufacture Pte Ltd is a Singapore food manufacturer, we have been manufacturing noodles since late 1960. Over 3 generations, we have been...",https://hiapgiapfood.com.sg,(65) 6280 0361,hiapgiap_18@singnet.com.sg,https://www.agri-biz.com/company-details/hiap-giap-food-manufacture-pte-ltd/
HONG KONG NOODLE MFG (S) PTE LTD,Noodles,Hong Kong Noodle Manufacturing (S) Pte Ltd has been established for more than 20 years and we are committed to continue to produce a variety...,https://hongkongnoodle.sg,(65) 8383 1668,hongkongnoodlemfg@gmail.com,https://www.agri-biz.com/company-details/hong-kong-noodle-mfg-s-pte-ltd/
HUP HENG POULTRY INDUSTRIES PTE LTD,Animals & Birds - Importers & Exporters,Fresh and hygienically packed poultry available for: • Restaurant • Hotels • Caterers • Markets • Minimart • Food industries Member of MTA,https://huphengp.com.sg,(65) 6257 0366,huphengp@singnet.com.sg,https://www.agri-biz.com/company-details/hup-heng-poultry-industries-pte-ltd/
KWONG CHEONG THYE PTE LTD,Food Processing & Packing,"Kwong Cheong Thye (KCT), a sauce pioneer with a rich history since the year 1892, offer products that suit the changing lifestyles of consumers today...",https://kct.sg,(65) 6748 7766,enquiry@kctsoya.com,https://www.agri-biz.com/company-details/kwong-cheong-thye-pte-ltd/
LEONG GUAN FOOD MANUFACTURER PTE LTD,Noodles,Leong Guan Food Manufacturer is a professional noodle manufacturer in Singapore specialising in various kinds of noodles. The company was formed to cater to the...,https://leongguan.com,(65) 6752 4188,enquiry@leong-guan.com,https://www.agri-biz.com/company-details/leong-guan-food-manufacturer-pte-ltd/
MEGA PACKERS ASSOCIATE PTE LTD,Frozen Foods - Distributors & Wholesalers,"Mega Packers Associate Pte Ltd is one of the leading importers and exporters of Beef, Lamb, Mutton, Poultry, along with Ready to Eat products in...",,(65) 6280 0846,jygoh@mpa-asia.com,https://www.agri-biz.com/company-details/mega-packers-associate-pte-ltd/
NG CHEE LEE PTE LTD,Canned Foods,"- Acids: Acetic acid glacial 99.5%, citric acid anhydrous and mono, lactic acid - Canned food: Braised peanuts, pickled lettuce, corn spear, corn kernels, cream...",https://ngcheelee.com,(65) 6269 4822,ncl@ngcheelee.com,https://www.agri-biz.com/company-details/ng-chee-lee-pte-ltd/
SINMAH POULTRY PROCESSING (S) PTE LTD,Animals & Birds - Importers & Exporters,"Sinmah Poultry Processing is an established brand that has been around for 30 years and we specialise in providing the freshest chicken islandwide, providing businesses...",https://sinmahgroup.com,(65) 6383 1200,admin@sinmahgroup.com,https://www.agri-biz.com/company-details/sinmah-poultry-processing-s-pte-ltd/
SONG FISH DEALER PTE LTD,Fish & Seafood Products - Importers & Exporters,- Import & export of fresh frozen seafood - Wholesale & retail of fresh & frozen seafood supplies in local market - Distribution of seafood...,https://songfish.com.sg,(65) 6777 3939,sales@songfish.com.sg,https://www.agri-biz.com/company-details/song-fish-dealer-pte-ltd/
XIAO SAN FRUITS PTE LTD,Cut Fruits & Vegetables,"We're a small fruit shop in Singapore which believes that fresh fruits and a light-hearted, playful outlook are secrets to better quality of living. Since...",https://xiaosanfruits.com.sg,(65) 9050 8833,enquiry@xiaosanfruits.com.sg,https://www.agri-biz.com/company-details/xiao-san-fruits-pte-ltd/
101 FRUITS,Fruits & Vegetables - Importers & Exporters,Member of SFVA,,(65) 6323 2101,,https://www.agri-biz.com/company-details/101-fruits/
ALAMANDA SINGAPORE PTE LTD,Fruits & Vegetables - Importers & Exporters,Importers & exporters of fruits and vegetables.,,(65) 6774 7225,zoey@alamanda.com.sg,https://www.agri-biz.com/company-details/alamanda-singapore-pte-ltd/
ALLIANCE COLD STORAGE PTE LTD,Cold Stores,Conveniently located next to one of Singapore\'s strategic trading hubs - Jurong Port - we at Alliance Cold Storage specialise in storing frozen food (at...,https://alliancecs.com,(65) 6515 4253,sales@alliancecs.com,https://www.agri-biz.com/company-details/alliance-cold-storage-pte-ltd/
ANTHONY P.J.K. SUPPLIER,Egg Processing Factories,"Importer, exporter & distributor:• Fresh Farm Eggs• Salted, Century & Quail EggsSFA licensed to process• Cooked Salted Eggs• Salted Egg Yolk• Peeled Hard Boiled Eggs",,(65) 6283 9601,anthony_pjk@hotmail.com,https://www.agri-biz.com/company-details/anthony-p-j-k-supplier/
AROMA TRUFFLE & CO.,Snacks,"We believe that luxury can be enjoyed anytime, anywhere. We are dedicated to creating and bringing you the most seductive gourmet snacks... All made from...",,(65) 9827 9944,kayson@aromatruffle.com,https://www.agri-biz.com/company-details/aroma-truffle-co/
ATLAS ICE (SINGAPORE) PRIVATE LIMITED,Cold Stores,"Atlas Ice (Singapore) Private Limited has office rental at 260 Orchard Road, The Heeren. We also provide a one-stop warehousing and cold storage solution for...",,(65) 6738 4388,enquiry@heeren.com.sg,https://www.agri-biz.com/company-details/atlas-ice-singapore-private-limited/
BIO-FLORA (SINGAPORE) PTE LTD,Agricultural Chemicals,"Producing Bio-flora organic compost (Green Label) and planting mix Compound Fertilizer: Fertilizer Organic & Inorganic Importer of Peatmoss, Vermiculite, Perlite Importer of water soluble fertilizers-...",https://bioflora.com.sg,(65) 6582 0896,enquiry@bioflora.com.sg,https://www.agri-biz.com/company-details/bio-flora-singapore-pte-ltd/
CHAROEN POKPHAND INTERTRADE SINGAPORE (PTE) LTD,Eggs - Importers & Exporters,Importer & exporter of:• Eggs• Frozen shrimp wonton and gyoza• Frozen processed seafood and poultry• Frozen raw seafood and poultry• Ready to eat meals• Rice,https://cpbrand.com,(65) 6538 7020,info@cpisgp.com.sg,https://www.agri-biz.com/company-details/charoen-pokphand-intertrade-singapore-pte-ltd/
CHENGTAI NURSERY PTE LTD,Landscaping - Contract & Maintenance,Landscape Planning/Design/Contracting Nursery Supplies Plant Rental Maintenance (Landscape & Koi Pond) Wholesaler/Retailer Member of KCA & LIAS,https://chengtainursery.com,(65) 6765 3333,sales@chengtainursery.com,https://www.agri-biz.com/company-details/chengtai-nursery-pte-ltd/
CHEW'S AGRICULTURE PTE LTD,Eggs,"For 30 years, Chew's Agriculture is happy to be a part of your everyday nourishment, as one of the leading, largest and most modern layer...",https://chewsegg.com,(65) 6793 7674,chewsegg@singnet.com.sg,https://www.agri-biz.com/company-details/chews-agriculture-pte-ltd/
CHIT HUAT PTE LTD,Fruits & Vegetables - Importers & Exporters,"Specialise in tropical fruits - watermelon, papaya, pineapple, honeydew, pomelo Direct import of Thailand fruits - guava, honey mango, coconut, long kong, longan We specialise...",,(65) 6779 2119,chit_huat@hotmail.com,https://www.agri-biz.com/company-details/chit-huat-pte-ltd/
CHUA PENG SENG FOOD MANUFACTURING PTE LTD,Kueh,"Chua Peng Seng Food Manufacturing established since 1935, specialised in: - Carrot cake - Yam cake - Steam egg cake - Nian Gao Wholesale &...",,(65) 6243 9240,chuapengseng@yahoo.com,https://www.agri-biz.com/company-details/chua-peng-seng-food-manufacturing-pte-ltd/
CKT FOOD PTE LTD,Food Seasonings,"Manufacturer and distributor of ""Chan Kong Thye"" brand's range of quality food seasonings and food condiments Our product range includes: • Light soya sauce •...",,(65) 6852 9397,cktfood88@gmail.com,https://www.agri-biz.com/company-details/ckt-food-pte-ltd/
CP FOODS SINGAPORE PTE. LTD.,Eggs - Importers & Exporters,Importer & exporter of: • Eggs • Frozen shrimp wonton and gyoza • Frozen processed plant-based • Frozen processed seafood and poultry • Frozen raw...,https://cpshopz.sg,(65) 6538 7020,kellyang@cpisgp.com.sg,https://www.agri-biz.com/company-details/cp-foods-singapore-pte-ltd/
CRETEL FOOD EQUIPMENT PTE LTD,Food Processing  Equipment & Supplies,"Cretel Food Equipment was established in 1988, with Cretel NV Belgium partnership. Cretel Food Equipment is widely known for the specialisation in meat and fish...",,(65) 6219 1918,marketing@cretel.com.sg,https://www.agri-biz.com/company-details/cretel-food-equipment-pte-ltd/
DAWOOD FLOUR MILL & PROVISION PTE LTD,Grinding Mills,Dawood Flour Mill and Provision Pte Ltd first started its grinding business in 1997 in Geylang Lorong 101. They provide grinding for all types of...,,(65) 6445 0733,,https://www.agri-biz.com/company-details/dawood-flour-mill-provision-pte-ltd/
EASTERN GREEN MARKETING PTE LTD,Fruits & Vegetables - Importers & Exporters,Importer and exporter of fresh fruits and vegetables.,,(65) 6774 7225,zoey@easterngreen.com.sg,https://www.agri-biz.com/company-details/eastern-green-marketing-pte-ltd/
ELEMENT LOGISTICS PTE LTD,Logistics Support Companies &/Or Facilities,"Element Logistics Pte Ltd specialises in Temperature Controlled Logistics for: • Food & Beverages Logistics Working together with food importers & distributor, we have built...",https://elementlogistics.com,(65) 6256 1098,element@elementlogistics.com,https://www.agri-biz.com/company-details/element-logistics-pte-ltd/
FORTUNE FOOD MANUFACTURING PTE LTD,Soya Bean Products,"Fortune Manufacturing specialises in the production of an extensive variety of Tofu, including Traditional Chinese Tofu, Japanese Silken Tofu, Egg Tofu and Tau Kwa. These...",,(65) 6266 4188,,https://www.agri-biz.com/company-details/fortune-food-manufacturing-pte-ltd/
GOLDEN BRIDGE FOODS MANUFACTURING PTE LTD,Canned Foods,"Golden Bridge – Quality Processed Meats Since 1993 Established in 1993, Golden Bridge started as a producer of traditional Chinese waxed sausages and has grown...",https://golden-bridge.com,(65) 6572 9200,enquiry@otsi.sg,https://www.agri-biz.com/company-details/golden-bridge-foods-manufacturing-pte-ltd/
HANWELL HOLDINGS LIMITED,Grocers - Wholesale,"Hanwell Holdings is a leading provider of consumer essentials. It manufactures, distributes and markets a diverse range of safe and quality consumer products. From rice,...",https://hanwell.com.sg,(65) 6268 4822,corpcomms@hanwell.com.sg,https://www.agri-biz.com/company-details/hanwell-holdings-limited/
HCG ENVIRONMENT PTE LTD,Waste Management,"HCG Environment Pte Ltd provides waste management and disposal services for industrial, commercial and construction industries. We provide disposal services including Mobile Garbage Bin collection,...",https://hcgenviro.com,(65) 6558 8098,erika@hcgenviro.com,https://www.agri-biz.com/company-details/hcg-environment-pte-ltd/
HENG GUAN POULTRY INDUSTRIES PTE LTD,Ducks - Importers & Exporters,Heng Guan Poultry Industries Pte Ltd is 1 of the main duck meat producers in Singapore and have been supplying the local market with chilled...,https://hengguan.com.sg,(65) 6756 8070,may@hengguan.com.sg,https://www.agri-biz.com/company-details/heng-guan-poultry-industries-pte-ltd/
HENG GUAN SENG KEE TRADING PTE LTD,Fruits & Vegetables - Wholesalers & Traders,"Importer & exporter, wholesaler & distributor for the best quality fruits & vegetables.Member of SFVA",https://hgsk.com.sg,(65) 6778 6155,hgsk@pacific.net.sg,https://www.agri-biz.com/company-details/heng-guan-seng-kee-trading-pte-ltd/
LIM KIAN SENG FOOD SUPPLIER PTE LTD,Fruits & Vegetables - Wholesalers & Traders,Lim Kian Seng Food Supplier Pte Ltd has been in this business for over 40 years. We specialise in vegetable & fruit wholesale and supply...,https://limkianseng.com.sg,(65) 6779 2826,lksfs@limkianseng.com.sg,https://www.agri-biz.com/company-details/lim-kian-seng-food-supplier-pte-ltd/
MINOX VALVES & FITTINGS PTE LTD,Valves & Fittings,"Stockist of sanitary stainless steel valves, tubes, fittings, installation components & equipment and rubber hoses for food & beverage industries. Other address Email: info_sg@minox.biz",https://minox.biz,(65) 6515 9505,minox@singnet.com.sg,https://www.agri-biz.com/company-details/minox-valves-fittings-pte-ltd/
MOHAMAD ARMIYA FOOD INDUSTRY PTE LTD,Frozen Foods,"Manufacturer of beef ball, cheezy beef ball, chicken ball, mutton ball, beef burger patty, chicken burger patty, black pepper beef, black pepper chicken wings, Madura...",https://halalmeatball.com.sg,(65) 6853 4477,armiya@singnet.com.sg,https://www.agri-biz.com/company-details/mohamad-armiya-food-industry-pte-ltd/
NEW EVERYDAY PTE LTD,Snacks,"Manufacturer and wholesaler, specialising in ? Belinjo crisps ? Prawn crackers/sticks ? Fish crackers/sticks ? Vegetable crackers ? Tapioca chips ? Pumpkin chips ? Lobster...",https://facebook.com,(65) 6243 8232,,https://www.agri-biz.com/company-details/new-everyday-pte-ltd/
NEWTECH MACHINERY PTE LTD,Food Packaging Systems,"One-stop solution for food processing equipment from raw material handling to packaging and cleaning systems.Serving a broad spectrum of clients - whether in the meat,...",https://newtech.sg,(65) 6753 3313,enquiry@newtech.sg,https://www.agri-biz.com/company-details/newtech-machinery-pte-ltd/
NGO CHEW HONG EDIBLE OIL PTE LTD,Edible Oils,"With over 60 years of history, Ngo Chew Hong Edible Oil Pte Ltd is one of the leading edible oils and fats manufacturers in the...",https://ngochewhong.com,(65) 6778 3322,enquiry@nchoil.com.sg,https://www.agri-biz.com/company-details/ngo-chew-hong-edible-oil-pte-ltd/
PACLAB PTE LTD(PACIFIC LAB SERVICES),Food Testing,"Since the 1970s, Pacific Lab Services provides comprehensive services in Animal and Human Nutritional Analysis to global clientele and partners. With a strong history of...",https://pacificlabservices.com,(65) 6753 3141,paclab@pacificlab.com.sg,https://www.agri-biz.com/company-details/paclab-pte-ltdpacific-lab-services/
PREMIUM EGG PRODUCTS PTE LTD,Eggs - Importers & Exporters,Supplying Singapore with Quality Eggs Since the 2010s We’ve been delivering the freshest and tastiest eggs to homes and businesses across Singapore for over a...,https://teoseng.com.my,(65) 6363 8833,general@premiumeggproducts.com,https://www.agri-biz.com/company-details/premium-egg-products-pte-ltd/
S M C FOOD 21 PTE LTD,Dairy Products,"SMC Group provides food premixes using Sugar, Dairy and Cocoa ingredients suitable for Confectionery, Dairy, Beverages and other food industries. SMC helps customers to OEM...",https://smcfood21.com,(65) 6264 7672,chenglc@smcfood21.com,https://www.agri-biz.com/company-details/s-m-c-food-21-pte-ltd/
SEAFRIGO SINGAPORE PTE LTD,Logistics Support Companies &/Or Facilities,"Seafrigo specialises in Perishable Foods Logistics, by Air & Sea. Frozen & Chilled Delivery Services consists in: ? Changi Terminal Import Cargo Clearance (Coolport & Dnata)...",https://seafrigo.com,(65) 6734 9418,contact.singapore@seafrigo.com,https://www.agri-biz.com/company-details/seafrigo-singapore-pte-ltd/
SIN LI-HIN FROZEN FOOD PTE LTD,Fish & Seafood Processing Establishments,"Sin Li-Hin is renown for her reliability and innovative ways to provide ""Ready to Cook"" frozen food, meal or finger items, which is marketed under...",https://sinlihin.com.sg,(65) 6755 3773,sales@sinlihin.com.sg,https://www.agri-biz.com/company-details/sin-li-hin-frozen-food-pte-ltd/
SPRAYING SYSTEMS CO (S) PTE LTD,Bakeries,Spraying Systems Co is the world’s leading manufacturer of spray nozzles. We help customers optimise operations and create more sustainable manufacturing practices. With tens of...,https://spray.com.sg,(65) 6778 6911,spray@spraying.com.sg,https://www.agri-biz.com/company-details/spraying-systems-co-s-pte-ltd/
SULTAN BURGER ENTERPRISE PTE LTD,Frozen Foods,"Processing and distribution of frozen/chilled chicken products, fish products, meat products, sauces, coleslaw and pasta.Trading of frozen/chilled chicken products, fish and seafood products, meat products,...",,(65) 6755 6900,sultanburger94@gmail.com,https://www.agri-biz.com/company-details/sultan-burger-enterprise-pte-ltd/
TAI THONG FOOD MFG PTE LTD,Noodles,We are comprehensive manufacturers and exporters of: ? Noodle (plain/with egg) ? Vermicelli (flour) ? Kway teow (dried rice sticks) ? Stick noodles (dried flour...,https://taithong.com,(65) 6287 7166,ttfmpl@singnet.com.sg,https://www.agri-biz.com/company-details/tai-thong-food-mfg-pte-ltd/
TRINOX ENGINEERING SERVICES PTE LTD,Food Packaging Systems,"Since being established in 2004, Trinox has been providing automation, process and packaging solution to food, beverage, chemical and selected industrial markets in Singapore and...",https://trinox.com.sg,(65) 6316 6608,trinox@trinox.com.sg,https://www.agri-biz.com/company-details/trinox-engineering-services-pte-ltd/
TRIPAK PACKAGING SOLUTIONS PTE LTD,Food Packaging Systems,TRIPAK PACKAGING SOLUTIONS IS A FOOD PACKAGING AND SOLUTIONS PROVIDER.We have a team of experience professionals and dedicated expertises who seek to understand and provide...,https://tripaksolutions.com.sg,(65) 9631 0915,enquiries@tripaksolutions.com.sg,https://www.agri-biz.com/company-details/tripak-packaging-solutions-pte-ltd/
TRITECH SCIENTIFIC PTE LTD,Beverages,Tritech Scientific established in Singapore since 1999 is a regional laboratory equipment and consumable supplier. The quality of our products and services has ensured that...,https://tritechsci.com.sg,(65) 6255 1605,informa@tritechsci.com.sg,https://www.agri-biz.com/company-details/tritech-scientific-pte-ltd/
TSM FOOD SERVICES PTE LTD,Meat & Meat Products - Importers & Exporters,"TSM Food Services Pte Ltd was established in 2011 importing chilled and frozen meat products from New Zealand, Australia, USA, Europe and Brazil.Our marketing coverage...",https://meatpridesg.com,(65) 6570 3177,sales@tsmfoodservices.com,https://www.agri-biz.com/company-details/tsm-food-services-pte-ltd/
UNIVA AROMATICS PTE LTD,Food Additives & Flavourings,Univa Aromatics cater to your needs by providing flavour blends that best suit you and your consumer?s taste buds. To help your business achieve optimum...,https://univa.sg,(65) 6749 5210,univa@singnet.com.sg,https://www.agri-biz.com/company-details/univa-aromatics-pte-ltd/
ZAGRO SINGAPORE PTE LTD,Animal Health Products,"For over 70 years, ZAGRO has been a trusted provider of high-quality agrisolutions for poultry, livestock, pets, crop care, and crop nutrition. As a leading...",https://zagro.com,(65) 6759 1811,zsingapore@zagro.com,https://www.agri-biz.com/company-details/zagro-singapore-pte-ltd/
ZTP GINSENG BIRDNEST PTE LTD,Bird's Nest,ZTP Ginseng Birdnest Pte Ltd is one of the largest health food retail chains in Singapore. We are also one of the largest bottled bird's...,https://ztpbirdnest.com,(65) 6316 1215,ztppl@ztp.com.sg,https://www.agri-biz.com/company-details/ztp-ginseng-birdnest-pte-ltd/
AH BENG AQUARIUM,Fish Ornamental - Importers & Exporters,"- Import, export, wholesale of a wide variety of marine livestock - Retail of a wide range of marine products & equipment - Professional services...",,(65) 6741 0208,ahbengaquarium.sg@gmail.com,https://www.agri-biz.com/company-details/ah-beng-aquarium/
AIR LIQUIDE SINGAPORE PRIVATE LIMITED,Processing - Chilling & Freezing,"Air Liquide Singapore Pte Ltd (ALSg) is a wholly owned subsidiary of Air Liquide, France, a world leader in gases, technologies and services for Industry...",https://sg.airliquide.com,(65) 6265 3788,sg-info@airliquide.com,https://www.agri-biz.com/company-details/air-liquide-singapore-private-limited/
AJINOMOTO (SINGAPORE) PTE LTD,Food Ingredients,"A subsidiary company of AJINOMOTO CO., INC. (JAPAN) which is a global-leading company in various areas such as Food Products, Amino Acids, Pharmaceuticals, Health and...",https://ajinomoto.com.sg,(65) 6257 2022,enquiry@ajinomoto.com.sg,https://www.agri-biz.com/company-details/ajinomoto-singapore-pte-ltd/
ARIES FRESH PTE LTD,Fruits & Vegetables - Importers & Exporters,"Import and Export Aries Fresh imports a wide range of fresh produce from Vietnam, Indonesia, Thailand and Malaysia (including Cameron Highlands) and we are constantly...",https://ariesfresh.com,(65) 6773 6273,enquiry@ariesfresh.com,https://www.agri-biz.com/company-details/aries-fresh-pte-ltd/
BAN HONG POULTRY PTE LTD,Chickens - Importers & Exporters,Specialising in poultry business for• Poultry meat processing of fresh & frozen chicken products• Thawed chicken parts• Boneless breast• Whole black chicken• Whole spring chicken•...,https://tonghuat.com,(65) 6756 2611,bhfarm@singnet.com.sg,https://www.agri-biz.com/company-details/ban-hong-poultry-pte-ltd/
BARAKAH FOODS (SINGAPORE) PTE LTD,Dried Foods,Barakah Foods (Singapore) Pte Ltd is an importer and distributor of all kinds of premium quality dates. Our product range gives you an array of...,https://barakahfoods.sg,(65) 6805 1650,bfs@barakah.sg,https://www.agri-biz.com/company-details/barakah-foods-singapore-pte-ltd/
BEIJER REF SINGAPORE PTE LTD,Air-Conditioning,Beijer Ref is a world-leading wholesaler of cooling technology and air conditioning. We provide customers with a broad range of products in the fields of...,https://beijerref.com.sg,(65) 6316 7682,,https://www.agri-biz.com/company-details/beijer-ref-singapore-pte-ltd/
BOONG POULTRY PTE LTD,Chickens - Importers & Exporters,"Boong Poultry (a.k.a AQINA Farm Singapore), since its inception in 1994, has gradually grown from a small poultry distributor to one of the largest Kampung...",https://aqinafarm.com.sg,(65) 6481 1315,hello@aqinafarm.com,https://www.agri-biz.com/company-details/boong-poultry-pte-ltd/
CELSIUS FOODTECH PTE LTD,Food Packaging Systems,"We supply food processing equipment cater to all F&B, central kitchens, marketplace & etc. The best partner for you to start your food establishment with...",https://celsius-ft.sg,(65) 6931 9900,info@celsius-ft.sg,https://www.agri-biz.com/company-details/celsius-foodtech-pte-ltd/
CHIA YONG JOO TRADING PTE LTD,Fruits & Vegetables - Wholesalers & Traders,"Ninety Years History! Yes, that is what Chia Yong Joo Trading Pte Ltd (CYJ) possess. From a humble beginning in 1930 as a retail business,...",https://chiayongjoo.com.sg,(65) 6778 9276,enquiry@chiayongjoo.com.sg,https://www.agri-biz.com/company-details/chia-yong-joo-trading-pte-ltd/
CHILLI API CATERING PTE LTD,Caterers,"Chilli Api Catering Pte Ltd was established in 2002 for hosts with Halal requirements in mind. With Halal and HACCP certifications, the company provides catering...",https://chilliapi.com.sg,(65) 6246 0163,catering@chillipadi.com.sg,https://www.agri-biz.com/company-details/chilli-api-catering-pte-ltd/
CHO KEE NOODLE PTE LTD,Noodles,Cho Kee Noodle has been serving Traditional Cantonese Wanton Noodle at Old Airport Road since 1965. We have begun as a humble pushcart hawker before...,https://cho-kee.com,(65) 9455 0963,enquiries@cho-kee.com,https://www.agri-biz.com/company-details/cho-kee-noodle-pte-ltd/
