"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Logistics Services Offered","TMS Software Used","Carrier Partners Count & Names","Employee Range Fit","Has Ocean or Air","Has Ocean or Air (2)","Uses CargoWise","Multi Carrier","ICP Score","FF Verified"
,"Bruhat Logistics | Project Freight Forwarding","Bruhat Logistics is a Singapore based Shipping and Freight Forwarding Company specializing in handling project and heavy-lift cargo.

We are very strong in sea freight, air freight, project cargo logistics and end-to-end solutions with a clear focus on high customer satisfaction.

With our headquarters in Singapore, we have our strategically located offices across India, Malaysia, Indonesia, Bangladesh, the United Kingdom, and a strong network of partners worldwide.

Our services include:
 
• Pre-Cargo Survey - Transport Diagram, securing methods & Loading Inspection 
• Disassembly, Provision of cranes for Loading Discharge Operation, Lashing 
• Packaging and Insurance Protection
• Heavy Axle Transportation
• Warehouse / Port Loading & Securing Arrangement. 
• International Transportation & Shipping
• Freight- In-house Flat rack, Open top, Breakbulk, RORO  
• Customs Formalities, Export Permit, Declarations
• Door - Door Shipping & Customer Service
• Chartering - Breakbulk, RORO, Barge, LCT

Bruhat Group comprises of below entities:
BRUHAT LOGISTICS PTE LTD, SINGAPORE 
BRUHAT LOGISTICS PVT LTD, INDIA 
BRUHAT LOGISTICS SDN BHD, MALAYSIA 
BRUHAT LOGISTICS PT, INDONESIA
BRUHAT PROJECT LOGISTICS LTD, VIETNAM
BRUHAT LOGISTICS LIMITED, UNITED KINGDOM
BRUHAT BANGLADESH LIMITED
BRUHAT LOGISTICS LLC, DUBAI
BRUHAT LOGISTICS SERVICES LLC, SAUDI ARABIA
BRUHAT LANKA PVT LTD, COLOMBO
BRUHAT PROJECT LOGISTICS LLC, USA
MAKARA SHIPPING LINE, SINGAPORE
MAKARA LOGISTICS PVT LTD

Further information can be found at www.bruhat.co","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore","Singapore","bruhat.co","https://www.linkedin.com/company/bruhat-logistics-pvt-ltd","[{""serviceCategory"":""ocean freight"",""serviceName"":""Ocean Freight Services"",""serviceDescription"":""Comprehensive ocean freight solutions including proje...","Response","Response",false,true,true,false,false,0,true
,"Seaco","Seaco was formed in 1998 as a 50/50 joint venture between General Electric Capital Corporation and Sea Containers Ltd. Seaco is now a wholly owned subsidiary of Global Sea Containers Ltd, a Bermuda company. Seaco is an indirectly wholly owned subsidiary of Bohai Leasing Co,. Ltd which is listed on the Shenzhen Stock Exchange.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Public Company","Singapore, Singapore","Singapore","seacoglobal.com","https://www.linkedin.com/company/seaco-com","[{""serviceCategory"":""ocean freight"",""serviceName"":""container leasing and sales"",""serviceDescription"":""Seaco Global specializes in leasing and selling ...","Response","Response",false,true,true,false,false,0,false
,"Bintan Offshore Marine Centre (BOMC)","gone","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Partnership","Singapore","Singapore","bomc.com.sg","https://www.linkedin.com/company/bintan-offshore-marine-centre","[{""serviceCategory"":""warehousing"",""serviceName"":""International Port Laydown & Warehousing"",""serviceDescription"":""Includes warehouse facilities, port l...","Response","Response",false,false,false,false,false,0,false
,"Go Gauge Logistics","In just a few short years, Go Gauge Logistics has become a rising force in the marine and project logistics landscape. What started as a bold idea to modernize and simplify project cargo and multimodal logistics has grown into a powerful movement—backed by a passionate team, cutting-edge technology, and relentless execution.

From our first 100-ton transformer move to complex vessel charters, turnkey heavy transport, and specialized marine engineering with fabrication support, Go Gauge has been redefining what’s possible in the world of marine and project forwarding.

We’re not just moving cargo—we’re moving ideas, engineering bold solutions, and reshaping how the world connects.

We call it Moving Smart, Moving Heavy. 

Join us as we celebrate our journey—and the limitless road ahead.

We’re just getting started.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Singapore","Singapore","gogauge.co","https://www.linkedin.com/company/go-gauge-logistics","Error processing request","Error processing request",,true,false,false,false,false,0,false
,"PIL Logistics Pte Ltd","PIL Logistics is a lead logistics provider headquartered in Singapore. 

With operations across Asia's logistically challenging, but opportunities-filled market, PIL Logistics is focused on driving connectivity.  

Besides our unique capability in China, PIL Logistics is also entrenched in various Southeast Asian countries, with joint ventures and strategic partnerships across the region.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore , Singapore","Singapore","pillogistics.com","https://www.linkedin.com/company/pil-logistics-pte-ltd","[{""serviceCategory"":""other"",""serviceName"":""Freight Forwarding"",""serviceDescription"":""Provides management of shipments, booking FCL/LCL/Air cargo space...","Response","Response",false,true,true,false,false,0,true
,"FIBS Logistics","Optimizing supply chains is more than what we do — it’s how we help businesses move forward.

FIBS Logistics is an independent freight forwarder offering agile, end-to-end logistics solutions across key global trade lanes. Since our founding in 2019, we’ve built a strong presence across Asia, the Middle East, and Europe, empowering clients to move goods reliably, flexibly, and with confidence.

From ocean, air, and rail freight to warehousing, cross-border trucking, and contract logistics, we tailor every move to our customers’ needs — blending technology, partnerships, and hands-on service.

What sets us apart:
-  Transparent, responsive operations
-  Deep local knowledge with global coordination
-  A strong network of owned offices and trusted agents
-  Multi-industry expertise and scalable solutions","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore","Singapore","fibs-logistics.com","https://www.linkedin.com/company/fibs-logistics","[{""fcl"":""yes"",""lcl"":""yes"",""evidenceUrl"":""https://fibs-logistics.com/ocean-freight"",""serviceName"":""Ocean Freight"",""serviceCategory"":""ocean freight"",""se...","Response","Response",false,true,true,false,false,0,true
,"MAK Logistic Pte Ltd","At MAK Logistic, we redefine logistics by combining skilled manpower, robust technology, and customized solutions to meet the evolving needs of businesses across Singapore. With over 12 years of experience and a proven track record with more than 50 satisfied clients, we specialize in:

Warehouse Manpower Supply 
Transportation Services
E-Commerce Fulfillment

Our dedication to excellence, reliability, and innovation has earned the trust of leading brands such as Shopee, Singapore Post, and Yamato Transport. No matter your industry retail, construction, or cold chain logistics, MAK Logistic is your trusted partner for scalable, efficient, and logistics solutions.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore","maklogistic.com","https://www.linkedin.com/company/mak-logistic-pte-ltd","[{""serviceCategory"":""warehousing"",""serviceName"":""Warehouse Manpower Supply Services"",""serviceDescription"":""Provision of workforce for warehouse operat...","Response","Response",false,false,false,false,false,0,false
,"Janio Asia","Imagine a world where your e-commerce logistics operations seamlessly align with your business goals. Welcome to Janio – where innovation and optimisations meet logistics.

Janio empowers post-purchase logistics for retailers, e-commerce platforms, marketplaces, and enablers in Asia. Streamline your e-commerce logistics with our network of 300+ logistic partners worldwide and intensive service coverage across Asia.  

Let us handle your end-to-end logistics needs, so you can focus on what matters most: your business growth. Let's talk!","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Singapore, Singapore","Singapore","janio.asia","https://www.linkedin.com/company/janio","[{""serviceCategory"":""eCommerce logistics"",""serviceName"":""eCommerce Logistics"",""serviceDescription"":""End-to-end logistics services & efficient delivery...","Response","Response",true,true,true,false,false,0,false
,"Singapore Logistics Association (SLA)","Established as the Singapore Freight Forwarders Association in 1973, the association was renamed Singapore Logistics Association (SLA) in 1999 to reflect the growth and wide-ranging activities of its members. Today, SLA has about 700 members comprising not only the logistics enterprises but also a growing number of companies from the wider logistics ecosystem. The association stays anchored in its mission to sustain a vibrant community through active industry participation and collaborations with both local and international partners. 

Offering a wide range of targeted programmes and initiatives to help enterprises be future ready, SLA also constantly reviews and explores forward-looking initiatives to help logistics enterprises implement business transformation improvements to emerge stronger and ahead of competition. In alignment with global sustainability goals, SLA supports the adoption of sustainable practices by encouraging members to explore green solutions that contribute to a more environmentally friendly sector. 

To nurture a pipeline of global and future ready logistics talents for the industry, The Logistics Academy, a wholly owned subsidiary training arm of SLA was incorporated in 2010 to provide human capital and skills development courses to empower and deepen the skills of the workforce for the logistics sector.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Non Profit","Singapore","Singapore","sla.org.sg","https://www.linkedin.com/company/sla-sglogistics","[]","Response","Response",false,false,false,false,false,0,false
,"Inteluck","Inteluck delivers data-driven end-to-end logistics services to Southeast Asian enterprises. Inteluck’s fundamental goal is to improve logistics efficiency via the use of technology and data while providing value for both customers and providers.
Inteluck covers a wide range of logistics platform services, such as domestic FTL (full truckload) transportation, warehouse management, freight forwarding, cross-border transportation, and other customised supply chain services.
The company is headquartered in Singapore and has operations in other Southeast Asian nations such as the Philippines and Thailand, as well as offices in China and other regions.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore","Singapore","inteluck.com","https://www.linkedin.com/company/inteluck","[{""serviceCategory"":""road/trucking"",""serviceName"":""Domestic FTL Transportation"",""serviceDescription"":""Supports domestic full truckload transportation ...","Response","Response",false,true,true,false,false,0,false
,"BTS Tankers Pte Ltd","BTS Tankers Pte Ltd is a leading regional tanker operating company based in Singapore with a fleet presently consisting of 10 Oil Products and Chemical tankers in the 8-17,589 dwt size that are mainly employed in Southeast Asia. 
BTS Tankers has previously been known by the names of Petroships Pte Ltd and Brostrom Tankers Singapore Pte Ltd.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore","btstankers.com","https://www.linkedin.com/company/bts-tankers-pte-ltd","[]","Response","Response",false,false,false,false,false,0,false
,"OECL","OECL was established in the year 2008 by a well-experienced team who have been providing world-class logistics services for over 30 years in the various field of supply chain solutions.","Transportation, Logistics, Supply Chain and Storage","201-500 employees","Privately Held","Singapore , Singapore","Singapore","oecl.sg","https://www.linkedin.com/company/oecl","[{""serviceCategory"":""air freight"",""serviceName"":""Air Freight"",""serviceDescription"":""Time-definite air freight with express and economy options across ...","Response","Response",false,true,true,false,false,0,false
,"Transliner","Founded in 2001, Transliner is one of Southeast Asia’s oldest Non-Vessel Operating Common Carriers (NVOCC), headquartered in Singapore. Initially focused on connecting China & Southeast Asia to the Indian Subcontinent, we have since expanded our network to cover 23 countries and over 50 ports across the Intra-Asia region.

With our own fleet of containers (both Dry and Refrigerated), strategically located offices, and a dedicated team of ~200 professionals across Singapore, China, Malaysia, Indonesia, Thailand, India, and the UAE, we offer tailored, reliable, and cost-effective container solutions to our customers.

As global shipping lines increasingly prioritize direct relationships with Beneficial Cargo Owners (BCOs), Transliner proudly supports Freight Forwarders and Logistics providers by offering neutral, conflict-free NVOCC services. Our mission is to deliver transparent, flexible, and dependable containerized transportation solutions.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Singapore, Singapore","Singapore","translinergroup.com","https://www.linkedin.com/company/transliner-pte-ltd","[{""fcl"":"""",""lcl"":"""",""evidenceUrl"":""https://www.translinergroup.com/services"",""serviceName"":""Shipping routes (e.g., China Chennai Service, Straits Gulf...","Response","Response",true,false,false,false,true,0,false
,"CROSSOVER Group","CROSSOVER Group is a global asset management firm headquartered in Singapore that specialises in alternative investments in ISO tank containers for the transportation & logistics needs of the international chemical, oil, and gas industries. With assets under management (AUM) totalling USD 200 million as of FY 2023, CROSSOVER Group has established itself as a leader in the sector.

Founded in 2014, CROSSOVER has rapidly evolved into a global tank container operator. Our international presence spans 15 countries, including offices in Singapore, China, the US, the UAE, Saudi Arabia, the Netherlands, Germany, Spain, the UK, South Korea, Japan, India, Malaysia, Turkey, and South Africa.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Singapore","Singapore","crossover-group.com","https://www.linkedin.com/company/crossover-logistics-group","[{""serviceCategory"":""other"",""serviceName"":""Asset Management of Tank Containers"",""serviceDescription"":""Specializes in asset management of tank containe...","No answer","Response",true,true,true,false,false,0,false
,"JETBAY","JETBAY is a premier charter technology platform headquartered in Singapore and Shanghai, with regional offices in Beijing, Hong Kong and Jakarta. We provide private, business, pet, cargo, medical, and group charter flight services to clients worldwide. Leveraging AI-driven analytics and an extensive network of partners, we deliver fast, efficient, and competitively priced charter solutions. Today, JETBAY stands as one of the world’s leading charter technology providers, seamlessly connecting global charters through our API.

Specialising in tailored business jet solutions, we offer comprehensive, customised charter services across Asia to meet the unique needs of each client. By integrating real-time data and advanced algorithms, we provide highly competitive charter options and bespoke services that cater to the most discerning clients.

Our commitment to excellence was recognised in 2023/2024 by major media organisations. BRICS Finance named JETBAY the ‘Best Private Jet Charter Service Provider,’ while the Hurun Report awarded us the ‘Best Performance Award for Business Jet Charter Service Provider.’","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Tanjong Pagar","Singapore","jet-bay.com","https://www.linkedin.com/company/jet-bay-air-charter-service","[{""serviceCategory"":""air freight"",""serviceName"":""Private Jet Charter"",""serviceDescription"":""Offers private jet charter services for business, leisure,...","Response","Response",true,true,true,false,false,0,false
,"Allied Container Group","Established in 1975, Allied Container Group has grown to become one of Singapore’s largest container haulage operator and container yard operator. With over 40 years of experience, the Group has a strong reputation in the line of logistics management. 

We believe in doing our own customized systems, and we have our own team of software engineers to develop as well as maintain system connectivity with our customers.

In 2006, we established Winspec Group, a sister company of Allied, that is a freight-forwarding and logistics provider company. We offer warehouse, local transportation and international services to our customers. We are also the sole distributor for ENOC marine lubricant.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Privately Held","Singapore, Singapore","Singapore","allied.com.sg","https://www.linkedin.com/company/allied-container-group","[{""serviceCategory"":""road/trucking"",""serviceName"":""Truckload"",""serviceDescription"":""Full truckload shipping services with options for temperature cont...","Response","No answer",true,false,false,false,false,0,false
,"DiMuto","DiMuto redefines AgriTrade with AI, Data Visibility, and Finance — Using tech to create and connect a sustainable, global AgriTrade ecosystem. 

With our three pillars of Marketplace, Trade Management, and Trade Financing, DiMuto supports every aspect of AgriFood trading, redefining the way goods are managed from farm to table, seamlessly and simply connecting every step, and making it visible throughout. 

DiMuto was founded by Gary Loh after a decade of running a global fruit & vegetable company. 

Frustrated with the way global food trade was conducted he decided things need to change for the better. DiMuto aims to solve the global issue of food resilience and supply chain inefficiencies. 

By traders for traders, we want to help AgriFood business owners optimize their operations efficiently and for them to build a foundation of trust between their buyers or sellers so that they can take action on improving and growing their businesses in a more sustainable, efficient manner.

Maximizing Business Efficiency, Minimizing Impact on The Planet. 

Since 2019, DiMuto has successfully tracked and traced over millions of pieces in produce and millions in dollars of trade value on our platform, working with a global portfolio of clients in over ten countries and five continents. DiMuto is founded by Chief Executive Officer Mr Gary Loh, who is also the Executive Chairman of First Alverstone Group.
 
For more information, please visit www.dimuto.io.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore, Singapore","Singapore","dimuto.io","https://www.linkedin.com/company/dimuto","[]","Response","Response",false,false,false,false,false,0,false
,"Halcon Primo Logistics","Halcon Primo Logistics is a leading logistics company operating in Singapore, Malaysia, and China. We go beyond traditional break bulk shipping and cargo logistics, offering comprehensive and seamless solutions to the Mining, Oil & Gas, Heavy Machinery, and Construction Industries across Asia.

Headquartered in Singapore, HPL manages a 7-hectare bonded warehouse and maintains offices in Australia, China, and Malaysia. Our expertise lies in providing tailored, customer-driven services that add value and meet the highest expectations. Similar to the hawk after which we are named, we distinguish ourselves by delivering high-quality customized solutions.

With extensive experience in logistics and supply chain management, HPL excels in Freight Management & Distributions, Warehousing Management & Value Added Services, Bonded Logistics Hub, and Project Logistics on a global scale. 

Join us on this exciting journey as we continue to shape the logistics landscape, foster lasting partnerships, and create tangible value for businesses in diverse industries. Connect with us to explore how HPL can optimize your supply chain and provide the integrated solutions you need to thrive in today's dynamic marketplace.","Transportation, Logistics, Supply Chain and Storage","51-200 employees","Public Company","Jurong East, West Region","Singapore","halconprimo.com","https://www.linkedin.com/company/halcon-primo-logistics","Error processing request","Error processing request",,true,false,false,false,false,0,false
,"AGX","Look around you. >90% of the things you see have been in a shipping container at some point. Surprisingly, while being a 500+ billion-dollar industry, 80% of the market is still dominated by small and medium-sized freight forwarders. 

They mostly organize shipments via countless back and forth emails. AGX helps these forwarders take a step forward and digitalize themselves to compete with emerging digital and global players. We provide them with the digital toolset to keep their backs free so they can focus on their superior operational service offering.

The AGX platform replaces endless email chains, countless excel sheets and complicated carrier websites with a virtual one file solution for schedules, bookings, tracking, exception based task management and allocation visibility for forwarders and your international agents - regardless of which TMS they are using. 

Our vision is to standardize information exchange in international logistics like the container did for shipping!

We are a team uniting decades of experience in SME-, and digital forwarding, tech, and consulting. We are based around the world with centers of gravity in Germany and Hong (further ones coming up).","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Public Company","Singapore","Singapore","agxworld.com","https://www.linkedin.com/company/agx-world","[{""fcl"":"""",""lcl"":"""",""evidenceUrl"":""https://www.agxworld.com/"",""serviceName"":""Platform Collaboration & Management"",""serviceDescription"":""A platform fac...","Response","Response",false,false,false,false,false,0,true
,"Payload Asia","Payload Asia continues to be the authoritative source for informative, accurate and up-to-date news and information on the air cargo industry and related sectors. With its updated and refreshed look the print edition continues to provide high quality coverage on the Asia-Pacific, India-Middle East, Europe-CIS, North & South America and Africa air cargo markets.","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Singapore","Singapore","payloadasia.com","https://www.linkedin.com/company/payload-asia","[{""serviceCategory"":""other"",""serviceName"":""Cross border logistics lanes and technology investments"",""serviceDescription"":""Cainiao’s logistics services...","Response","Response",false,false,false,false,false,0,false
,"Smart Relocators Singapore, International Moving & Storage","Our Mission - At Smart Relocators Singapore, our mission is to consistently enhance, research and innovate cost effective International moving, storage, transportation and logistics solutions to corporation, corporate HR, families and individual moving globally without compromising on quality to all our customers. 

#internationalmoving #corporatemovingservices #movemanagement #officerelocation #transportation #householdgoods #logistics #storage #projectdelivery #relocations #internationalmobility","Transportation, Logistics, Supply Chain and Storage","11-50 employees","Privately Held","Kranji, Singapore","Singapore","smartrelocators.sg","https://www.linkedin.com/company/smart-relocators-singapore","[{""serviceCategory"":""other"",""serviceName"":""International Moving Services"",""serviceDescription"":""Smart Relocators offers international moving services ...","Response","Response",false,true,true,false,false,0,false
