"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"TEG-Capital Pte Ltd","TEG-Capital is a trading and financing firm based in Singapore.
We deal with a wide range of physical commodities, including palm/sunflower/coconut/soybean oil products.

Do get in touch with us for more information about how we can partner with you.
For more information, contact us at info@TEG-Capital.com","Wholesale Import and Export","2-10 employees","Privately Held","Singapore, Singapore","Singapore","teg-capital.com","https://www.linkedin.com/company/teg-capital"
,"Xpand Tradings Pte Ltd","Who We Are
Xpand Tradings is a trading & distribution company which focuses on distribution of FMCG F&B category products that satisfy the tagline “Quality with Convenience.” We seek out products from sources that do not compromise on quality, while giving value for money for every product we offer. 
Our strength is in seeking out ‘hidden gems’ from unconventional sources while ensuring. That the production practices they use maintains the integrity of good manufacturing practices, safety of the products & the quality. We focus on a range of products for the modern family, keeping in mind the challenges of the frantic pace of living in this modern world. 

Why should you choose us for your distribution needs?
We operate on a 3 R sourcing framework to ensure our partners and their products enjoy optimal market penetration and the best chance for maximum sales revenue.
We employ a 3R Framework approach in our client engagement. This unique framework allows us to keep an active level of engagement with our partners throughout our partnership. In turn, this active engagement helps us define our search for the type of products we distribute in line with our guiding philosophy. This is crucial to ensure the following:

A. For our Producer/ Manufacturer Partner
This framework allows them to access to real time data on what kind of market entry strategies will best work for their products. This allows optimum sharing and market intel so that both parties can choose wisely on everything from product range, pricing strategy and brand building initiatives. Clear marketing plans and costings can be derived from the collected data to optimise profits for both parties.

B. For our customers.
Whether it is for B2B or B2C customers, we bring in quality products and go the extra mile to bundle and package our products so that economies of scale can be enjoyed even in small orders. With certain conditions met, we can supply the high amount for the right price.","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore","xpandtradings.com","https://www.linkedin.com/company/xpand-tradings-pte-ltd"
,"JSC Group","𝗟𝗼𝗼𝗸𝗶𝗻𝗴 𝗳𝗼𝗿 𝗮 𝗺𝗼𝗿𝗲 𝗿𝗲𝗹𝗶𝗮𝗯𝗹𝗲, 𝗰𝗼𝘀𝘁-𝗲𝗳𝗳𝗲𝗰𝘁𝗶𝘃𝗲 𝘄𝗮𝘆 𝘁𝗼 𝘀𝗼𝘂𝗿𝗰𝗲 𝗰𝘂𝘀𝘁𝗼𝗺 𝗰𝗼𝗺𝗽𝗼𝗻𝗲𝗻𝘁𝘀 — 𝗯𝗮𝗰𝗸𝗲𝗱 𝗯𝘆 𝗲𝗻𝗱-𝘁𝗼-𝗲𝗻𝗱 𝘀𝘂𝗽𝗽𝗹𝘆 𝗰𝗵𝗮𝗶𝗻 𝘀𝗼𝗹𝘂𝘁𝗶𝗼𝗻𝘀?

We work as an extension of your team — sourcing industrial components with precision, flexibility, and full supply chain support.

 𝗪𝗲 𝘀𝗶𝗺𝗽𝗹𝗶𝗳𝘆 𝘁𝗵𝗲 𝗲𝗻𝘁𝗶𝗿𝗲 𝗽𝗿𝗼𝗰𝗲𝘀𝘀 — 𝗳𝗿𝗼𝗺 𝗾𝘂𝗼𝘁𝗲 𝘁𝗼 𝗱𝗲𝗹𝗶𝘃𝗲𝗿𝘆 — 𝘀𝗼 𝘆𝗼𝘂 𝗰𝗮𝗻 𝘀𝘁𝗮𝘆 𝗳𝗼𝗰𝘂𝘀𝗲𝗱 𝗼𝗻 𝘄𝗵𝗮𝘁 𝘆𝗼𝘂 𝗱𝗼 𝗯𝗲𝘀𝘁.

Get in touch with us to understand what a sourcing partnership could look like at info@jscgroup.org","Wholesale Import and Export","11-50 employees","Privately Held","Singapore, Singapore","Singapore","jscgroup.org","https://www.linkedin.com/company/jsc-group-sg"
,"Llama Living Pte Ltd","Llama Living helps European designer brands develop the fast growing South East Asian marketplace for outdoor furniture. We provide an extensive network of retailers and engage with market leading designers, developers and brands in the hospitality industry in the region.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","roolf-living.asia","https://www.linkedin.com/company/llama-living-pte-ltd"
,"SOY 8","Our primary focus is the import of Non-GMO Soy Beans for human consumption into China 
We only buy from producers  that are registered and approved with China's AQSIQ","Wholesale Import and Export","11-50 employees","Partnership","Singapore, Singapore","Singapore","soy8.co","https://www.linkedin.com/company/soy8"
,"Communiquette Pte Ltd","Established in 2024, Communiquette is a culmination of 20 years of experience in import-export and general trading. We supply:
-Auto parts
-Construction materials
-Consumer electronics
-Marine/Offshore engineering spare parts
-General Machinery / Workshop equipment and spare parts
-Automatic composter to turn food waste into fertilizer
-and many more!","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","communiquette.com","https://www.linkedin.com/company/cmnq"
,"Shri Tirupati Global Pte Ltd","Shri Tirupati Global Pte Ltd is a timber business house incorporated in 2017, registered office in Singapore. We have a good procurement hold in African and South American countries such as Peru, Ecuador, Panama, Columbia, Venezuela, Sudan, Uganda, Congo, and Ghana. Our main products include Teak(Tectona Grandis), Doussie (Afzelia), Tali, Cumaru, Jatoba, Mashonaste, Garapa, and Balsamo wood.","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore",,"https://www.linkedin.com/company/shri-tirupati-global-pte-ltd"
,"Flamingo Fine Foods Pte. Ltd.","Flamingo Fine Foods is a one-stop Food & Beverage solution, distributing a wide range of international brands in Singapore. Our team is dedicated to delivering our customers reliable and quality food and beverage products. Our experience in wholesale, distribution, and brand-building, guarantee excellent and efficient delivery of our foods. Currently, we are the exclusive distributor of Khoisan Gourmet and Royal Dutchman.","Wholesale Import and Export","2-10 employees","Privately Held","Serangoon","Singapore","flamingo-sg.com","https://www.linkedin.com/company/flamingo-fine-foods"
,"VINOLIS CELLAR Pte Ltd","French, with a deep-rooted love for wine, had spent the last two decades immersed in the vibrant culture of Asia. His journey had taken him from bustling metropolises to serene countryside, where he discovered a growing appreciation for fine wines among the region's discerning consumers.

Inspired by this newfound passion, he decided to bridge the gap between the rich wine heritage of Europe & the “New World” and the burgeoning wine market of Asia. He envisioned a company that would introduce a curated selection of exceptional wines to Asian palates, while also promoting wine culture and education.

His extensive knowledge of wine, coupled with his deep understanding of Asian tastes, allowed him to curate a carefully selected portfolio of wines. From the classic regions of France, Spain and Portugal to emerging wine-producing countries like South Africa, Vinolis offers a diverse range of exceptional vintages.

Each wine was chosen for its quality, character, and suitability for Asian palates. He believes that wine should be an enjoyable experience, accessible to all, and he was committed to introducing wines that would resonate with Asian consumers.

Beyond simply selling wine, Vinolis aimed to promote wine culture and education in Asia. He organizes wine tastings, seminars, and workshops to introduce people to the world of wine and help them develop their palates. He believes that by fostering a love for wine, he could contribute to the growth of the wine market in Asia.

Vinolis became a bridge between the wine cultures of Europe and Asia. His passion and expertise, combined with his deep understanding of both cultures, allow him to connect wine producers with Asian consumers in a meaningful way. Vinolis is a trusted source for high-quality wines, and his vision of sharing his love of wine with Asia became a reality.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","vinoliscellar.com","https://www.linkedin.com/company/vinolis-cellar"
,"Trop Aquarium","Located in Singapore, Trop Aquarium specialises in the export of Freshwater Tropical Fish, Marine Fish, Invertebrates and Aquatic Plants. Being an ISO 9001 and ISO 14001 Certified Company since year 2000, Trop Aquarium promises quality and value of our fishes to all customers.

In operations since 1987, Trop Aquarium has been in the international market since 1989. Our reputation in various aspects has led the company into a fast rising growth in the export market.  As years have passed, we are now a global venture & one of Singapore's top fish farm.

With business partners scattered all around the world, Trop Aquarium now has Sole Distributorships in 11 countries, and clients from 35 countries. Being recognised for our farm management, ability to meet our customers' needs & advancement in technology, we continuously strive to further expand our export market and be the top within the fish industry.","Import and Export","2-10 employees","Self Owned","Singapore","Singapore","tropaq.com","https://www.linkedin.com/company/trop-aquarium"
,"International Mercantile Company (IMCO)","IMCO started as a spice trading company in 1962 in Singapore by its founder, Late Shri Lalitrai Belawala (Timbadia) who passed away in 2008. Under his stewardship, the company grew to a truly international trading establishment sourcing and distributing the full range of spices worldwide. Headquartered in Singapore, the main office actively oversees the finance and trade flows, risk management operations and strategy formulations of the whole group. The group also encompasses several procurement and processing plants in Indonesia, Ethiopia, Uganda and Gabon. It also continues to trade in several spices and commodities.","Wholesale Import and Export","2-10 employees",,"Singapore, Singapore","Singapore","imco.com.sg","https://www.linkedin.com/company/international-mercantile-company-imco"
,"Regis Power Pte Ltd","Established in 2015, Regis Power Pte Ltd is a proud supplier of quality Electric Motors to Marine & Offshore, Oil & Gas, Construction and other related Industries. We are one of the preferred partner and supplier of various companies in need of low, medium to high voltages motors from simple to complicated operations. Our core strength is engineered-to-order motors and drives. 

We have significant experience in Power Conversion, Power Quality, Power Supply and Power Generation (particularly from renewable energy sources). Applying our experience in electric motor industry, we were able to find the best suppliers and manufacturers of robust, reliable and premium efficiency AC motors to deliver to our clients in the ASEAN region. Whatever your power needs, whether you are looking at installing new equipment or revamping existing facilities, we can design and deliver the best solution to optimise efficiency, contributing significantly to reducing energy costs. We are also able to design and supply turnkey electric drive systems that include transformers and switchgear. 

Whether you are contemplating a new plant or need to revamp an existing facility, we can help design solutions that contribute to prolonging plant life. Our highly committed Service group has significant experience in retrofitting and motor upgrades as well as substitution of obsolete brands, and are able to offer our clients the best kind of after-sales service and technical assistance regarding their equipment. We are dedicated in improving our line of product offerings as well as service accuracy that is being challenged with each inspiring environment we’ve overcome.

Backed by our trusted rotating machine suppliers such as Hyundai, Schorch, Toshiba, NIDEC-ASI and Menzel, we look forward to a greater future of providing quality products and services that exceeds our clients’ expectations.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","thegreenbook.com","https://www.linkedin.com/company/regis-power-pte-ltd"
,"2nd Mile Coffee Pte Ltd","Preferred go-to partner for a variety of unique origin coffees packed in sizeable packaging that guarantees freshness of beans; foster growth and innovation partnerships between individual roasters and producers.","Wholesale Import and Export","2-10 employees","Privately Held","Bedok","Singapore","2ndmilespecialty.com","https://www.linkedin.com/company/2nd-mile-specialty-coffee"
,"潍柴新加坡私人有限公司 Private Limited",,"Import and Export","11-50 employees","Public Company","金文泰, Pandan Loop","Singapore",,"https://www.linkedin.com/company/潍柴新加坡私人有限公司"
,"Global Link Commodities Pte. Ltd.","We are a Singapore-based brokerage firm specialising in agricultural commodities. We facilitate the sourcing and trading of key products such as grains, oilseeds, pulses, rice, and other agri-based raw materials. Our services include commodity brokerage, market intelligence, trade facilitation, and supply chain coordination, connecting buyers and sellers across global markets. With  offices spanning across Shanghai, Gurugram, and London, we deliver strong sourcing and trading expertise throughout the fast-growing Southeast Asia region including Indonesia, Malaysia, Thailand, Vietnam, India, and China. 

We are committed to transparency, reliability, and timely execution, we work closely with clients to provide tailored solutions that meet specific market needs. By combining deep industry knowledge with an extensive network of trusted partners, we deliver value-driven services that support sustainable growth and long-term partnerships in the agri-commodities sector. Our role extends beyond just brokering deals; we are committed to proactive, seamless execution of contracts and documentation, consistently minimizing issues for clients and ensuring smooth, risk-managed operations.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore, Singapore","Singapore","globallinkcommodities.com","https://www.linkedin.com/company/global-link-commodities-pte-ltd"
,"GLOBAL HANDEL","Global Handel Pte Ltd is registered with ACRA and a local Singapore company.

Handel is a german word meaning “Trade or Commerce”

The company is promoted by young Indian entrepreneurs having rich experience and knowledge in various segments of trade .  The directors are having vast educational knowledge to add  experience in the field of trade, commerce, finance, IT and Ferrous and Non ferrous metals.

The objective of the company is to provide ease operating in the field of trade for buyers and sellers around the globe across various commodity by providing various solutions

SOURCING
INVENTORY
END TO END BUYER-SELLER SOLUTIONS
WAREHOUSING

The company aims to ease and achieve the success in the form of using online application accessible across the globe 2x7x365

The motive is to support the Large and SME to procure and sell commodity at economical price with best quality and timely delivery

Our strength is to service any quantity and commodity at the lease lead time possible

We undertake the guarantee of the Delivery, Quality and Payments and all our shipments will be insured and necessary test reports will be provided along with third party inspection","Import and Export","2-10 employees","Privately Held","Singapore","Singapore","globalhandel.com.sg","https://www.linkedin.com/company/global-handel-pte-ltd"
,"Gotro Global - Pet Product Distribution","Singapore distributor focused on providing healthy & quality pet products for Dogs & Cats.
Bringing some of the world's best brands to Singapore.","Wholesale Import and Export","2-10 employees","Partnership","Ang Mo Kio","Singapore","gotroglobal.com","https://www.linkedin.com/company/gotro-global"
,"CCSL Technology Pte Ltd","Industrial product distribution and smart factory solutions","Wholesale Import and Export","2-10 employees","Partnership","Singapore","Singapore","ccsl.com.sg","https://www.linkedin.com/company/ccsl-technology-pte-ltd"
,"NANOLAB (S) PTE LTD","Supplier/exporter of laboratory equipment and consumables","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","nanolab.sg","https://www.linkedin.com/company/nanolab-s-pte-ltd"
,"KEMAS Trading Pte Ltd","Who we are:

KEMAS Trading is a provider that delivers values to client organisations through international trading and global procurement operations. Our services focus on delivering sustainable value to emerging, future-oriented markets worldwide.

We support and work closely with our clients, to provide the best service and deliver premium products and finest quality, with most competitive prices. Combining our market knowledge and expertise ensures the best possible service and price, and builds a lasting relationship with our business clients.

What we do:

We strive to help clients with their business challenges from emerging markets whether for export or for their local requirements. This includes market intelligence, supplier identification, supplier audits, sample development, negotiations, contracting, logistics, quality control & supplier management.

Where we are:

The majority of our people are based in Singapore, Shanghai, London, Frankfurt, Vienna and Brussels.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","kemastrading.com","https://www.linkedin.com/company/kemas-trading-pte-ltd"
,"Interocean Mercantile Co Pte Ltd","Importer & Exporter of Electronic Components, Mobile Phones & Tablets and FMCG.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","imc.com.sg","https://www.linkedin.com/company/interocean-mercantile-co-pte-ltd"
,"Gainmax Innovation & Technology Pte Ltd","We are committed to create a positive impact on the planet by providing a suite of an environmentally friendly and sustainable products and solutions.","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore","gainmax.net","https://www.linkedin.com/company/gainmax-innovation-technology-pte-ltd"
,"BHNVEXPORT","BHNV is a prominent food export company, expert in the field of sourcing and exporting food products worldwide.
We offer export services as complimentary accompanied to its sourcing services or as an independent service.
certifications ( ISO, BRC, ANALYSIS, HACCP, KOSHER, HALAL and more ) upon request.
From Single Pallet To Mix And Full Container Load, Worldwide Sourcing Of Quality Products From Major Production Areas ( THAILAND , CHINA , ITALY , GREECE , USA )
Beverages, Coconut, Paste, Sauce, Thai Sauce, Flour and Strach, Flour Seed, Noodles, Thai Noodles, Warps, Pasta, Rice, Thai Rice, Canned Vegetables, Tomatoes, Olives, Non Food","Wholesale Import and Export","51-200 employees","Privately Held","Singapore, Singapore","Singapore","bhnvexport.com","https://www.linkedin.com/company/bhnvexport"
,"Isula Flavours Of Corsica","Corsica is a mediterranean French Island quietly tucked between Provence and Tuscany, it is a hidden treasure of unspoiled charm and natural beauty. Also known as “île de beauté” (Beauty Island), what truly attracts visitors is the Corsican spirit - to be true to their heritage and way of life. These rich values are exemplified by Isula’s handcrafted products, each one thoughtfully crafted using decades of traditional know-how and homegrown harvest. With Isula, bring home an authentic taste of Corsica and be captivated by a new plethora of flavours, taste and natural goodness.

The cuisine of Corsica is well-known to foodies around the world for its originality and dishes made from locally-grown fresh with delicious Mediterranean ingredients. Some of the typical products found in Corsica include chestnuts, cheeses made exclusively with goat or sheep’s milk, high quality olive oil and alcohol such as wines, beers and liqueurs. Corsican charcuterie is considered as one of the best in the world.


Our brands and products :

Dumè Cesari : Delicatessen
Ottavi : Cheese
Colomba : Pasta
Charles Antona : Jam, Cream, Chutney & Soup
Anlain Valentini : Honey
Mavela : Whisky & Liquors
Pietra : Beer
Biscuiterie d'Afa : Biscuit
Corsican wines","Import and Export","2-10 employees","Self Owned","Singapore, Singapore","Singapore","isula.com.sg","https://www.linkedin.com/company/isula-flavours-of-corsica"
,"Sixfive.sg","Passport to your next adrenaline rush. Exponential adventure awaits.

Everything starts with a dream. Our dreams evolve and we all have many. Ours have included running the Gobi desert ultra marathon, hiking Mount Rinjani and plunging into the crystal clear waters in Western Australian for the Great Ocean Swim. As fellow adventurer and sportsman, we understand how good gear is an enabler to that dream and adventure.

At the end of the day, money cannot buy memories and these are things. But the way we see it, these things are finely crafted tools that will give you a passport to maximizing sporting performance, expand your horizons and ultimately that makes a difference to the way you experience the world. 

At Sixfive.com.sg, we love life and exploring the outdoors, and we know first-hand the importance of quality gear. We seek to bring to you the widest range of products and top brands from all around the world to your desktop, and deliver them with the utmost care to your doorstep – ensuring that you will be well-equipped for your next outdoor adventure.

We stand behind all our products with 100% satisfaction guarantee, whether you are new to outdoor adventure or a seasoned pro, we gladly share our enthusiasm for our products. We are constantly updating our site with new categories and products to better cater to your needs - blending high quality products, our unique meticulous service and great savings to give you the finest online shopping experience in Singapore.

We are the authorised premium reseller for all product brands which we carried. All products come with official warranty as provided by the manufacturers directly or their Singapore authorised distributors. We support local businesses and thus do not import products from oversea trading companies. 

Cheers with  by team Sixfive.com.sg (reg no. 201219941H)","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","sixfive.sg","https://www.linkedin.com/company/sixfive-sg"
,"R3 Global","Manufacturer:- 
Nitrile Examination Gloves - Powder Free

Strategic Sourcing Service:-
One of the main advantages of R3 Global is the expertise in offering end-to-end Sourcing and Procurement Operations entailing all activities that are core to delivering value for our clients. Our sourcing service encompasses identification, quality assurance, time-line of delivery, 24/7 communication, addressing and handling procurement, manufacturing and handling logistics challenges, while ensuring on timely-delivery across the Globe.

Our sourcing service specialties cover:-
Client’s Need Analysis
Price Negotiation
Warehousing
Logistics 
Quality Control

We are officially based in Singapore with our bilateral trade explorations spreading across the world, which makes us the most favorable and friendly growth partner. Hence, we are able to strongly position ourselves as the most reliable wholesale traders of Variety of Goods, Management Consultancy Service provider and also offering the strategic sourcing service to the Global Clientele. What makes us unique is that we invest our time and resources to build a better tomorrow and continue to grow with people experiences which make our business flourish and achieve the pinnacle of success.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","r3global.com.sg","https://www.linkedin.com/company/r3-global-pte-ltd"
,"Lipex Hardware Pte Ltd","Lipex was established in 1980 as a sole proprietorship involved in the wholesale trade of a wide range of hardware products. Lipex was subsequently incorporated in 2013. Lipex is fast-growing SME with plans for expansion locally and in the region. Lipex imports and distributes products from Taiwan, China, Hollandand Malaysia. Lipex is the authorised delaer and exclusive distributor of numerous international brands like Chargers concrete nails, DPI anchor, OPT electrician tools, Blue Eagle Safety equipment, Tenson cupbrush, Blossom door locks, Tiger shears expert and many more. For wholesale enquiries, kindly email us at sales@lipex.com.sg.","Import and Export","2-10 employees","Privately Held","Singapore","Singapore","lipex.com.sg","https://www.linkedin.com/company/lipex-hardware-pte-ltd"
,"Suntek Global Holdings Pte Ltd","Suntek Global Holdings Pte Ltd was established in 1996.

It started off as an investment holding company. Recently in this year (2016), the company is exploring and expanding into general trading including imports and exports.

The company will be exploring in products that are new and unique in the local and overseas market, ranging from electronic gadgets, educational/productivity surveillance cameras devices to medical devices to local and overseas consumers.","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore","suntekglobal.com.sg","https://www.linkedin.com/company/suntek-global-holdings-pte-ltd"
,"Ever Fresh International Pte. Ltd.","www.everfreshint.com","Wholesale Import and Export","2-10 employees","Privately Held",,"Singapore","everfreshint.com","https://www.linkedin.com/company/ever-fresh-international-pte.-ltd."
,"Jalurmas Pte Ltd","We are selling commodities such as Crude Palm Oil, D2 Diesel, Rubber as well as importing Crude Oil","Wholesale Import and Export","2-10 employees","Privately Held",,"Singapore","jalurmas.com","https://www.linkedin.com/company/jalurmas-pte-ltd"
,"Gain-Wing Trading Pte Ltd.","Gain-Wing Trading Pte Ltd.cooperate well with some big steel plants and mining companies in Singapore and other countries. Gain-Wing specialises in importing the spare parts of different brands, such as Siemens, Hydac,MTS, Rexroth and other brands for metallurgy .","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","gain-wing.com","https://www.linkedin.com/company/gain-wing-trading-pte-ltd."
,"Untitled Untold Pte Ltd","The focus and drive of the organisation is to develop small and medium sized producers in Sri Lanka to global quality standards and ethics, to develop their brands to make them market ready for Singapore and the region. Working with food producers in Sri Lanka we source some of the most premium quality, organic food that is ethically produced and sustainably sourced to import and distribute in Singapore resonating with the country’s food diversification strategy. We supply an array of supermarkets, specialty health food stores, and restaurants in Singapore and looking to expand both our portfolio of products and clients.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","untitleduntold.com","https://www.linkedin.com/company/untitled-untold-pte-ltd"
,"ZenHome Official","ZenHome connects you to the spiritual heartland of North India, where every purchase creates ripples of change. Since our origin, we've partnered with local artisans and farmers, helping preserve centuries-old traditions while building sustainable futures.

Key Impact:
     1. 200+ local artisans and farmers supported
     2. 5,000+ conscious consumers joined our community
     3. 1.8% of revenue pledged to girl child education

As leading wholesale importers and exporters, we specialize in Buddha Rice – an award-winning, GI-tagged variety dating back to 600 B.C. This rare, diabetic-friendly white rice carries the legacy of being Lord Buddha's blessed offering from the region where he spent his life.

Our mission? Simple. We're helping rebuild the prosperity of this remarkable region while connecting conscious consumers with products that carry centuries of spiritual heritage. Every purchase through ZenHome supports local communities and helps preserve timeless traditions.

With our pledge to invest in girl child education, we're sowing seeds for future generations in this sacred land that gave the world meditation, yoga, and Buddha's teachings. Every purchase supports artisans today and empowers tomorrow's leaders.","Wholesale Import and Export","11-50 employees","Public Company","Singapore, Singapore","Singapore","zenhome.asia","https://www.linkedin.com/company/zenhome-official"
,"EWN Consulting",".","Wholesale Import and Export","2-10 employees","Partnership","Singapore","Singapore","erawan-services.com","https://www.linkedin.com/company/erawan-services"
,"M Asia Distribution","M Asia Distribution is a Singapore-based investment holding and distribution platform focused on bringing premium and niche consumer brands to market across Asia-Pacific.

With subsidiaries in Vietnam, Hong Kong, Australia, and New Zealand — and expansion into China underway — we deliver AI-embedded, data-driven distribution strategies that combine retail placement, omnichannel coverage, and performance marketing.

Our platform leverages AI data analysis and performance tracking to optimize growth, enhance consumer engagement, and provide measurable ROI for brand owners, creators, and investors.

What We Do:
• Exclusive distribution of premium & influencer-led brands
• Omnichannel retail coverage (e-commerce, D2C, kiosks, general trade, modern trade)
• Market expansion strategies with localized insights
• Tech-integrated activations (AI-powered vending, SaaS dashboards, smart campaigns)

Our Reach:
• 26,700+ retail doors across Asia-Pacific
• 2M+ units sold in 12 months
• Partnerships with global brands, creators, and IP owners

 Asia Pacific’s AI-Embedded Distribution Platform
Mission: Empowering premium and IP-driven consumer brands to scale across Asia through culture, creativity, and commerce.

MAISA is the consumer-facing platform of M Asia Distribution, designed to bridge the gap between brands and end-users.","Wholesale Import and Export","51-200 employees","Privately Held","Singapore, Singapore","Singapore","mgroupdist.com","https://www.linkedin.com/company/m-asia-distribution"
,"SQ Commodities Pte. Ltd.","SQ Commodities Pte. Ltd. is an independent commodities trading firm headquartered in Singapore. Our core mission is to facilitate international trade.

We source raw commodities from oil and gas producers, farmers, and miners and match the requirements of international buyers. We supply end-users with the processed commodities they need. We do these while ensuring a transparent, predictable and low-risk transactional facilitation.","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore","sqcommodities.com","https://www.linkedin.com/company/sq-commodities"
,"Premium Local Products","Premium Local Products is a company founded to bring high quality authentic products delivered right to your doorsteps.

The founders have a passion for healthy living and travelling. In every trip, they explore local authentic products to share with their families and friends. This is where the idea of bringing all natural products to people in need of premium naturals minus the middleman costs originated.

Premium Local Products also encourages people to preserve the environment. By appreciating locally-made products, you will also support the producers and farmers responsible for bringing these pure and contaminant-free products. They deserve sustainability despite the advancement in industrialization. In addition, logistics and delivery are optimized throughout the journey for a minimized carbon footprint. 

It is the value of the founders to provide their customers the best e-commerce experience of finding local products, which can be deemed difficult to obtain at your nearby local store. Upfront costs are highly reduced given there is no shop space or middleman involved in the operations of the seller.

Premium Local Products is looking forward to eliminating the challenge of purchasing authentic local items whilst promoting a healthier, more productive, and happier life. And with a deeper purpose behind the company, you can at the same time help local communities to live decently by patronizing their local qualitative ancestral productions.  

The co-founders are aiming to provide a large selection of 100 percent high quality and certified natural solutions to the community, originating from different countries worldwide. It is one of the morals of the company not only to deliver high quality solutions, but attain certifications for the products, proving their nutritional and original values that they use daily themselves.

Shop online now for the highest quality local products made available for you - https://premiumlocalproducts.com/","Wholesale Import and Export","2-10 employees","Privately Held","Singapore, Singapore","Singapore",,"https://www.linkedin.com/company/premiumlocalproducts"
,"Red River Commodities","Established in 2020 in Singapore, Red River Asia Commodities is a full service brokerage providing sourcing and sales expertise across energy, metals, agriculture commodities","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore","redriverasia.com","https://www.linkedin.com/company/red-river-energy"
,"Visnukumar Traders (Singapore) Pte Ltd","Visnukumar Traders (Singapore) Pte Ltd popularly known in its business circle for international trade was started in 2022 with the focus of catering Food, Non-Food, etc","Wholesale Import and Export","2-10 employees","Privately Held","Singapore","Singapore",,"https://www.linkedin.com/company/visnukumar-traders-singapore-pte-ltd"
,"HSF Global Pte Ltd",,"Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore","hsfglobal.sg","https://www.linkedin.com/company/hsf-global-pte-ltd"
,"Infinity Care Global Pte Ltd","Personal Protective Equipment
Nitrile Examination Gloves
Latex Examination Gloves
Infrared Thermometer (Medical)
Face Masks (3ply/3M N95/Niosh N95/KN95)
Face Shield
Microporous Coverall","Import and Export","2-10 employees","Privately Held","Singapore, Singapore","Singapore","infinity-care-sg.com","https://www.linkedin.com/company/infinity-care-global-pte-ltd"
,"Luxmar Pte. Ltd.","LUXMAR is a privately held Singaporean company that started its business by importing ION brand AV products and made them available as Apple accessories exclusively at the EpiCentre flagship store. Luxmar also held an online store for the same products. Luxmar has been dormant since September 2011. 

There are a number of third party online marketing and sales stores that currently offer ION products; and may offer ION or other products in the future, under Luxmar Pte. Ltd. They are not legitimate and have not been authorized by Luxmar to sell any products under Luxmar name.

Your feedback is welcomed and appreciated.

- Luxmar Management
- CEO and founder: Kourosh Matloubi
- email: km95035@yahoo.com","Import and Export","2-10 employees","Privately Held","Singapore","Singapore",,"https://www.linkedin.com/company/luxmar-pte.-ltd."
,"Enova Private Limited","Enova a Singapore-based spice exporter with facilities in Sri Lanka. We are dealing with spices such as Ceylon Cinnamon, Nutmeg, Pepper, Clove for the Export market
 
Also, we are passionate about Ceylon Tea and Coconut Kernel based products such as Virgin Coconut Oil, Chips, DC etc. 
 
With years of experience and market knowhow we are specialized in dealing with finest Sri Lankan products. We follow international food, hygienic and safety standards and ready to supply both bulk packaging and private labeling catering the demands of customers","Wholesale Import and Export","2-10 employees","Privately Held","Singapore, Central Area","Singapore","enova.lk","https://www.linkedin.com/company/enova-private-limited"
,"Amber Tradelink Pte. Ltd.","As the leading material distributor in the ferrous market, ATL helps you manage product sourcing and keep market volatility low through our expertise in physical and financial solutions in Steel. We provide an integrated system to support our customers in determining suppliers, transporter and quality financing to help manage risk and market volatility so that they can focus on growth.","Wholesale Import and Export","201-500 employees","Privately Held","Singapore, Singapore","Singapore","ambertradelink.com","https://www.linkedin.com/company/ambertradelink"
,"Diamond Cosmetics Pte Ltd","Diamond Cosmetics is part of a world-wide distribution of 100% authentic designer fragrances & cosmetic products. Established in Hong Kong, USA and now Singapore.

This synergy with our global counterparts has propelled us to be one of the largest wholesalers and stockists of perfumery and beauty products in the world. The members of our organisation have a presence in several different parts of the world and as professionals, we have been able to provide the best-in-class service to our vendors and customers for more than a decade.","Wholesale Import and Export","11-50 employees","Privately Held","Singapore","Singapore",,"https://www.linkedin.com/company/diamond-cosmetics-pte-ltd"
