company_name,category,website,phone,email,description,letter,source,source_url
BAUMANN SPRING COMPANY (S) PTE LTD,Metal Stamping & Fineblanking,https://baumann-springs.com,(65) 6268 5222,info.sg@baumann-springs.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BEDOK TRANSPORT PTE LTD,Buses,https://bedoktransport.com,(65) 6284 3032,enquire@bedoktransport.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BENNING POWER ELECTRONICS PTE LTD,Uninterruptible Power Supplies,https://benning.de,(65) 6844 3133,sales@benning.com.sg,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BENTEC COMPONENTS & TRADING PTE LTD,Electronic Components,,(65) 6744 7226,,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BERTDA SERVICES (SOUTHEAST ASIA) PRIVATE LIMITED,Robotics & Automation Equipment,,(65) 6471 2155,,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BEST CHEMICAL CO (S) PTE LTD,Chemicals - Electronic,https://best-chemical.com,(65) 6755 2400,enquiry@best-chemical.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BEYONICS PTE LTD,Contract Manufacturing,https://beyonics.com,(65) 6349 0600,enquiries@sg.beyonics.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BIJON CORPORATION PTE LTD,Fasteners,,(65) 6246 3802,,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BIZIT SYSTEMS AND SOLUTIONS PTE LTD,Controllers,https://bizit.com.sg,(65) 6442 0411,info@bizit.com.sg,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BLACKBERRY SINGAPORE PTE LTD,Wireless Products & Services,https://sg.blackberry.com,(65) 6879 8700,FAhelp_sg@blackberry.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BLASER SWISSLUBE (S) PTE LTD,Lubricants,https://blaser.com,(65) 6339 6881,e.pan@blaser.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BLAZE TECHNOLOGY PTE LTD,Adhesives & Encapsulants,https://blaze.com.sg,(65) 6270 2188,sales@blazeasia.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BLISS & REELS CO PTE LTD,Copper,,(65) 6744 0111,enquiries@blissr.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BOSCH REXROTH PTE LTD,Motion Controls,https://Boschrexroth.com.sg,(65) 6265 6033,rexroth@Boschrexroth.com.sg,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BOSCHMAN TECHNOLOGIES (ASIA) PTE LTD,Semiconductors,https://boschman.nl,(65) 6743 7188,pricia.lim@boschman.com.sg,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BRAEMAC PTE LTD,Electronic Components,https://braemac.com.sg,(65) 6848 8021,sales@braemac.com.sg,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BRIGANTINE COMPOSITES (S) PTE LTD,Clean Rooms - Installation & Equipment,,(65) 6863 2433,,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BROADCOM SINGAPORE PTE LTD,Integrated Circuits (ICs),https://broadcom.com,(65) 6755 7888,,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BRUDERER PRESSES (FAR EAST) PTE LTD,Machine Tools,https://bruderer-presses.com,(65) 6546 8121,info@sg.bruderer-presses.com,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
BTS INDUSTRIES (S) PTE LTD,Thermal Management Products,https://bts-industries.com,(65) 6566 8377,bts2002@singnet.com.sg,,B,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=B
CAM PLAS SINGAPORE PTE LTD,Mould Making,https://kkcam.co.jp,(65) 6749 7125,sales@camplas.com.sg,"Fabricating & selling of precision injection mould tools and precise engineering plastic parts. We also do secondary process, such as spraying, coiling and sub assembly...",C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CAPITALAND LIMITED,Facility Providers,https://capitaland.com,(65) 6774 1033,ask-us@capitaland.com,"CapitaLand Group (CapitaLand) is one of Asia’s largest diversified real estate groups. Headquartered in Singapore, CapitaLand’s portfolio spans across diversified real estate classes which include...",C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CESSTECH (S) PTE LTD,Clean Room Supplies & Equipment,https://cesstech.com,(65) 6368 2066,enquiry@cesstech.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
COFFER INDUSTRIAL SUPPLIES,Electronic Hardware,https://coffer.com.sg,(65) 6481 0055,enquiry@coffer.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
C & W ELECTRONICS PTE LTD,Cable Assemblies,,(65) 6545 7337,enquiries@cnw.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
C-PAK PTE LTD,Tapes & Tubes,https://cpak.com.sg,(65) 6244 0028,sales@cpak.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
C.T.S. INDUSTRIES PTE LTD,Soldering Fluxes & Chemicals,https://ctsind.com.sg,(65) 6276 3328,sales_cts@ese.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CADENCE DESIGN SYSTEMS (S) PTE LTD,Electronics Design Automation,https://cadence.com,(65) 6567 8600,training_singapore@cadence.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CADENCE TECHNOLOGIES PTE LTD,Nano Technology & Inspection,https://cadence-tech.com.sg,(65) 6779 0900,info@cadence-tech.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CADTRONICS SINGAPORE PTE LTD,Printed Circuit Board Design,,(65) 6566 8400,cadspl@singnet.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CAIRNHILL METROLOGY PTE LTD,Metrology Instruments,https://cairnhill.com,(65) 6890 0041,sales@cairnhill.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CAL-COMP PRECISION (SINGAPORE) LIMITED,Plastic Injection Moulding,https://avaplas.com.sg,(65) 6546 2655,avaplas@pacific.net.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CALDRON HARDWARE ENTERPRISE,Mould Making,,(65) 6788 4378,caldron@pacific.net.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CALDRON TOOLS & COMPONENTS,Mould Components,https://caldron.com.sg,(65) 6788 4378,caldron@pacific.net.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CALTRON (PTE) LTD,Electronic Instruments,https://caltron.sg,(65) 6295 2323,sales@caltron.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CAMTEK SOUTH EAST ASIA PTE LTD,Optics,https://camtek.co.il,(65) 6773 3317,johan_k@camtek.com.hk,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CAMWELL INDUSTRIES PTE LTD,Electronic Components,https://camwell.com.sg,(65) 6741 3233,sales@camwell.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CAMY PTE LTD,Labels,https://camyonline.com,(65) 6282 8058,camysls@pacific.net.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CAPITAL ENGINEERS & INDUSTRIES PTE LTD,Metal Fabrication,,(65) 6268 3248,sales_enq@cei.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CAPITALAND SINGAPORE LIMITED,Industrial Estate Management,https://capitaland.com.sg,(65) 6713 2888,ask_us@capitalandcommercial.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CARBOLOY PRECISION TOOLING PTE LTD,Precision Machining,,(65) 6260 3833,francis@cbl.hotmail.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CARL ZEISS PTE LTD,Optics,https://zeiss.com.sg,(65) 6922 9299,info@zeiss.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CASE-DATA (S) PTE LTD,Networking Products,,(65) 6748 5513,sales@case-data.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CASTOR & WHEEL (SINGAPORE) PTE LTD,Stainless Steel Fabricators,,(65) 6745 6944,singapore@castorwheel.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CCL DESIGN SINGAPORE PTE LTD,Labels,https://ccl-design.de,(65) 6755 3922,sgsales@cclind.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CCS ASIA PTE LTD,Electronic Instruments,,(65) 6363 1180,,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CE-TEST & MEASUREMENT (S) PTE LTD,Electronic Instruments,https://cetm.com.sg,(65) 6292 5161,info@cetm.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CEC-COILS SINGAPORE PTE LTD,Coils,https://ceccoils.com,(65) 6222 3321,s.info@ceccoils.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CEI LIMITED,Contract Manufacturing,https://cei.com.sg,(65) 6481 1882,limph@cei.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CEL COATINGS INDUSTRIES PTE LTD,Electroplating,https://celcoatings.com,(65) 6261 7991,marketing@celcoatings.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CENTRAL MERCANTILE CORPORATION (S) LTD,Packaging Materials,https://cmcs.com.sg,(65) 6459 5477,sales@cmcs.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CENTRAL-MIDORI (INT'L) PTE LTD,Membrane Switches/Flexible Laminated Circuits,https://centralmidori.com,(65) 6779 1113,centralmidori@central-midori.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CENTRE TESTING INTERNATIONAL PTE LTD,Testing Services,,(65) 6749 5821,singapore@cti-cert.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CENTURION CORPORATION LIMITED,CD Replication,https://centurioncorp.com.sg,(65) 6745 3288,janice@centurioncorp.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CETM GLOBALTEST PTE LTD,Testing & Measuring Instruments,https://cetm.com.sg,(65) 6292 5161,sales@cetm.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CFM HOLDINGS LIMITED,Tools & Dies,https://cfmholdings.com,(65) 6481 2888,irc@cfmholdings.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CFM INFRATRADE PTE. LTD.,Clean Room Supplies & Equipment,,(65) 6483 1522,,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CH2M HILL SINGAPORE PTE LTD,Clean Rooms - Installation & Equipment,https://ch2m.com,(65) 6391 0350,,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHAMPION MACHINE TOOLS (S) PTE LTD,Machine Tools,https://champion.com.sg,(65) 6481 7000,sales@champion.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHAMPION PRECISION ENGINEERING PTE LTD,Precision Machining,https://championprecision.com,(65) 6777 5272,sales@championprecision.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHANNEL TECHNOLOGIES PTE LTD,Telecommunication Equipment & Products,https://channeltechno.com,(65) 6749 2559,sales@channeltechno.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHARSLTON TECHNOLOGIES PTE LTD,Electronic Equipment & Supplies,,(65) 6569 9062,charsl@pacific.net.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHARTERED ELECTRONICS CO PTE LTD,Wire & Cable Harnesses,https://chartered.com.sg,(65) 6456 2644,info@chartered.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHASSASIA (SINGAPORE) PTE LTD,System Integrators,https://chassasia.com,(65) 6212 9191,sales@chassasia.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHEE NGAI PLASTIC & METAL FABRICATORS PTE LTD,Plastic Injection Moulding,,(65) 6747 1833,cngaipm@singnet.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHEM-GAS PTE LTD,Gas - Industrial & Medical - Cylinder & Bulk,https://chemgas.com.sg,(65) 6897 8998,chemgas@singnet.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHEMDEX TECHNOLOGIES PTE LTD,Clean Room Supplies & Equipment,https://chemdex.com.sg,(65) 6542 6211,sales@chemdex.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHEMICALS & MACHINERY PTE LTD,Electroplating,,(65) 6292 1723,sales@chemac.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHEMTRON PTE LTD,3D Printing Systems & Solutions,https://chemtron.com.sg,(65) 6273 7252,info@chemtron.com.sg,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
CHEONG FATT HOLDINGS PTE LTD,Metal Stamping & Fineblanking,,(65) 6481 2888,sales-sg@cfmholdings.com,,C,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=C
DNIV INTERNATIONAL PTE LTD,Electronic Equipment & Supplies,https://dniv.com.sg,(65) 6483 3386,sales@dniv.com.sg,We are leading global high service distributor supplying high-quality electronic and industrial equipment and components. Sales and services provided for the following products: See under...,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
D'MARK TECHNOLOGIES (S) PTE LTD,Electronic Components,https://dmarktech.com,(65) 6767 3232,sales@dmarktech.com,"D'Mark Technologies (S) Pte Ltd, an ISO 9001:2015 compliant organisation was incorporated in Singapore since 2005. Being a one-stop automation solution provider, we supply a...",D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DYNACAST (SINGAPORE) PTE LTD,Die-Castings,https://dynacast.com.sg,(65) 6268 7644,singapore@dynacast.com,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
D SQUARED TECHNOLOGY PTE LTD,Barcode Equipment & Systems,https://dsquared.com.sg,(65) 6743 1833,enquiry@dsquared.com.sg,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DA/PRO RUBBER SINGAPORE PTE LTD,Rubber Products,https://daprorubber.com,(65) 6264 1880,dapro@singnet.com.sg,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DAIFUKU MECHATRONICS (S) PTE LTD,Material Handling Systems,https://daifukusingapore.com,(65) 6552 6166,sales@daifuku.com.sg,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DAIHO (SINGAPORE) PTE LTD,Plastic Moulding & Secondary Processes,,(65) 6759 8730,eer@daihospore.com,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DAISHINKU (SINGAPORE) PTE LTD,Crystal Filters & Oscillators,https://kds.info,(65) 6286 7646,,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DATA CLEAN ASIA PTE LTD,Clean Room Services,https://datacleanasia.com,(65) 6748 5377,adminsg@dataclean.com,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DATA-SPHERE (S) PTE LTD,Power Supplies,https://datasphere.com.sg,(65) 6741 2233,sales@datasphere.com.sg,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DATAPULSE TECHNOLOGY LIMITED,CD Replication,https://datapulse.com.sg,(65) 6382 7989,dtpulse@datapulse.com.sg,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DATUMSTRUCT (S) PTE LTD,Networking Products,https://datumstruct.com,(65) 6749 0206,sales@datumstruct.com,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DATWYLER (THELMA) CABLES + SYSTEMS PTE LTD,Fibre Optics,,(65) 6863 1166,,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DAVISCOMMS (S) PTE LTD,Contract Manufacturing,https://daviscomms.com.sg,(65) 6547 1127,kkliew@daviscomms.com.sg,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DECAL SINGAPORE PTE LTD,Labels,https://decalsp.com,(65) 6272 0566,jamesquak@decalsp.com,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DECOMET METAL FINISHING PTE LTD,Electroplating,,(65) 6482 3027,decomet@singnet.com.sg,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DECOR INDUSTRIES PTE LTD,Electroplating,,(65) 6861 5916,,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DELTA DESIGN SINGAPORE PTE LTD,Integrated Circuits (ICs),https://deltad.com,(65) 6288 6949,sthng@deltad.com,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
DENSELIGHT SEMICONDUCTORS PTE LTD,Integrated Circuits (ICs),https://denselight.com,(65) 6415 4494,info@denselight.com,,D,SG-Electronics,https://www.sg-electronics.com/company-listing/?co=D
