company_name,address,postal_code,tel,fax,email,website,description,source_url
Ajinomoto (Singapore) Pte Ltd,460 Alexandra Road #13-04/05/06 PSA BuildingSingapore 119963,119963,+65 6257 2022 / +65 6257 1922,+65 6257 6866 / +65 6257 1622,enquiry@ajinomoto.com.sg,https://www.ajinomoto.com.sg/,"A subsidary company of AJINOMOTO CO.INC. Our company is a global-leading in various areas such as Foods, Amino Acids, Pharmaceuticals, Health and Nutrition Products. Our factories are located in over 23 countries with certifications in HALAL, KOSHER, HACCP, ISO9001:2000, ISO14001:2004, SIRIM, etc.",https://www.sfma.org.sg/member/info.php?cid=ajinomoto-singapore-pte-ltd
Akarui Pte Ltd,22 Sin Ming Lane #06-76 Midview CitySingapore 573969,573969,+65 6382 3788,+65 6742 8101,akarui@kibofrt.com,-,"Food Importer, Trading & Logistics",https://www.sfma.org.sg/member/info.php?cid=akarui-pte-ltd
All Big Frozen Food Pte Ltd,1 Senoko Ave #01-05 FoodAxis @ SenokoSingapore 758297,758297,+65 6694 2300,+65 6694 1894,vincent@allbig.com.sg,https://www.allbig.com.sg/,Importer and Exporter of seafood and value add product. Processing of seafood and distribution of seafood products to all F&B industry.,https://www.sfma.org.sg/member/info.php?cid=all-big-frozen-food-pte-ltd
All New International Pte Ltd,21 Woodlands Close #02-17 Primz BizhubSingapore 737854,737854,+65 6909 1992,-,mdpl2002@gmail.com,-,Trading,https://www.sfma.org.sg/member/info.php?cid=all-new-international-pte-ltd
Alterpacks Pte Ltd,587 Bukit Timah Road #02-07 Coronation PlazaSingapore 269707,269707,+65 9639 6131,-,contact@alterpacks.com,https://www.alterpacks.com,"R&D, Manufacturing Packaging, Food Containers.",https://www.sfma.org.sg/member/info.php?cid=alterpacks-pte-ltd
Amoy Canning Corp (S) Ltd,2 Bukit Batok St 23 #04-02 Bukit Batok ConnectionSingapore 659554,659554,+65 6261 2311,+65 6261 2800,contact@amocan.com,http://www.amocan.com/,"Amoy Canning Corporation (Singapore) Ltd is registered in Singapore in 1951 but its history can be traced back to 1908 in Amoy (Xiamen) China. Its principal business is the manufacturing and distribution of sauce, food and beverage products under its brands: AMOCAN, Delite, Amofood and Cixin Vegetarian. It is an ISO certified company and its products are HACCP certified. They have won many awards including Superbrands, Golden Brand Tasty Singapore, VII Europe Award, etc. Amoy Canning continues d",https://www.sfma.org.sg/member/info.php?cid=amoy-canning-corp-s-ltd
Annabella Patisserie Trading Pte Ltd,20 Bukit Batok Crescent #11-02 Enterprise CentreSingapore 658080,658080,+65 6591 8808 ext 9,+65 6591 8835,business@abp.sg,http://www.abp.sg/,"AnnaBella Patisserie is a Japanese-French inspired bakery, specializing in delicate Japanese light-cream hand-crafted macarons. It all started with the pursuit to produce the best-quality macarons. The founding chef spent over a decade travelling to world-class bakeries and chocolatiers, tasting and researching ingredients to create top quality macarons. This culinary journey contributes to every aspect of how the macarons are made today. The founder's passions and inspirations can be experience",https://www.sfma.org.sg/member/info.php?cid=annabella-patisserie-trading-pte-ltd
Aquaculture Centre of Excellence Pte Ltd,32 Netheravon RoadSingapore 508508,508508,+65 6570 1123,+65 6722 0697,e-sales@ace-sg.com,https://www.ace-sg.com/,"Established in 2017, ACE aims to revolutionize fish farming with an eco-friendly, cost effective and sustainable method; allowing fresh and healthy fish to be readily available to consumers everywhere. We responsibly raise fish in chemical-free conditions, using this game-changing technology as an alternative to traditional fish farming to raise healthy fish while also preserving the environment around us.",https://www.sfma.org.sg/member/info.php?cid=aquaculture-centre-of-excellence-pte-ltd
Aromaz Pte Ltd,15 Jalan Tepong #05-07 Jurong Food HubSingapore 619336,619336,+65 6898 3890,+65 6898 3891,eric@aromaz.com.sg,http://www.aromaz.com.sg/,"Aromaz Pte Ltd is a professional food and nutrition OEM and ODM manufacturing and business partner. Aromaz specialised in dry powder and tea blending and packing services. Our customers products range from sugar / sweeteners, functional beverages, supplements, meal replacements, cereal beverages and premixes etc, exporting to more than 20 countries around the world. Our plant is GMP, HACCP, ISO22000 and Halal certified.",https://www.sfma.org.sg/member/info.php?cid=aromaz-pte-ltd
Asia Farm F&B Pte Ltd,211 Woodlands Ave 9 #05-71Singapore 738960,738960,+65 6852 1535,+65 6852 1536,info@asiafarm.com.sg,http://www.asiafarm.com.sg/,"We, Asia Farm F&B Pte Ltd, are the leading drink manufacturer in Singapore, specialise in designing & creating unique beverages. Started our humble beginning in 08 August 1998, our commitment ""dare to be different"" and ""simplify & go"" make us to where we are today. We believe our ""positivity and passion"" with our ""constant improvement"" will lead us to our vision. We enjoy developing unique beverages from palate-pleasing cordial syrup to refreshing traditional brews that reflect the company's Asi",https://www.sfma.org.sg/member/info.php?cid=asia-farm-fnb-pte-ltd
Asyura Pte Ltd,15 Jalan Tepong #02-02 Jurong Food HubSingapore 619336,619336,+65 6863 4852,-,enquiry@asyurapaste.com,https://www.asyurapaste.com/,"Singapore-based, Muslim-owned business that manufactures authentic, halal & ready-to-cook pastes of favourite dishes typically found in Malay homes.",https://www.sfma.org.sg/member/info.php?cid=asyura-pte-ltd
At-Sunrice Globalchef Academy Pte Ltd,28 Tai Seng Street Level 5Singapore 534106,534106,+65 6416 6688,+65 6416 6689,academy@at-sunrice.com,https://www.at-sunrice.com/,"At-Sunrice GlobalChef Academy has been cultivating global chefs and F&B professionals in an experiential environment of culinary authenticity, best-fit apprenticeship and innovation since 2001. With an internationally experienced faculty and staff, state of the art facilities and strong industry partnerships, the Academy delivers skills and knowledge in East and West, Old and New World Cuisines, Herbs and Spices, Innovation and Technology as well as enables the diploma students to spend their la",https://www.sfma.org.sg/member/info.php?cid=at-sunrice-globalchef-academy-pte-ltd
Australian Fruit Juice (S) Pte Ltd,19 Chin Bee AvenueSingapore 619941,619941,+65 6262 0220,+65 6262 2100,info@ripe-afj.com.sg,http://www.ripe-afj.com.sg/,"Australian Fruit Juice (S) Pte Ltd was established in 1974 as a manufacturer and supplier of quality juice to meet the high requirements of the airlines, hotels, bars, restaurant, cafes and supermarket retails industries. We are the sole owner of the brand name “RIPE” and through the past 30 years, have positioned ourselves as the leading institutional supplier for quality fruit juice.",https://www.sfma.org.sg/member/info.php?cid=australian-fruit-juice-s-pte-ltd
Bachun Food Industries Pte Ltd,17 Tuas Bay WalkSingapore 637761,637761,+65 6861 0518,+65 6861 1451,enquiry@bachun.com,http://www.bachun.com/,"Bachun Food began as a small manufacturing plant in 1976 but is now a modern, efficient and dynamic enterprise that specialises in manufacturing of high quality authentic Chinese and Asian sauces and condiments. Marketed under Ong's and Bachun brands, Bachun Food's range of Chinese and Asian sauces and condiments includes an extensive selection of standard products like Oyster Sauce, Pure Sesame Oil, Chilli Sauces, Soy Sauces to ready-to-cook products like Stir-Fry Sauces, Noodle Sauces, Marinad",https://www.sfma.org.sg/member/info.php?cid=bachun-food-industries-pte-ltd
Bakers Oven Pattisieries,1E Senoko CrescentSingapore 758287,758287,+65 6752 0311,+65 6756 0880,sales@bakersoven.com.sg,http://www.bakersoven.com.sg/,"Baker's Oven is established in 1998 by the founder, Mr Jason Ng. Baker's Oven is one of Singapore's leading manufacturers and wholesale supplier of bakery products and festive seasons' products such as moon cakes, Chinese New Year goodies/cookies, Christmas log cakes, Hari Raya tray cakes, etc. The company has adopted the innovative frozen technology to extend the shelf life the products for maximum 12 months. Through constant research innovation as well as the company's ability to adopt to mark",https://www.sfma.org.sg/member/info.php?cid=bakers-oven-pattisieries
Bawa's Delicacy Pte Ltd,3 Lorong Bakar Batu #01-01Singapore 348741,348741,+65 6749 6687,+65 6749 6687,farook.6775@yahoo.com,https://www.bawas.com.sg,Wholesale of confectionery and bakery products,https://www.sfma.org.sg/member/info.php?cid=bawas-delicacy-pte-ltd
Bee Sim Foods Pte Ltd,200 Pandan Loop #10-06/07 CT FoodChainSingapore 128388,128388,+65 6316 4438,+65 6316 4438,sales@beesim.sg,https://www.beesim.sg/,"Family-owned and locally manufactured since the 1970s, every piece of Bee Sim dim sum reflects generations of experience and dedication by our dim sum masters.",https://www.sfma.org.sg/member/info.php?cid=bee-sim-foods-pte-ltd
Bengawan Solo Pte Ltd,23 Woodlands LinkSingapore 738730,738730,+65 6756 9088,+65 6756 9089,sales@bengawansolo.com.sg,http://www.bengawansolo.com.sg/,"The first Bengawan Solo started as a small neighbourhood store on the east coast of Singapore, where cakes and other sweet confections were prepared to perfection in the modest kitchen of Mrs Anastasia Liew. 30 years and more than 40 outlets later, Bengawan Solo has grown to become an established Singaporean brand synonymous with premium quality cakes and confectionery.",https://www.sfma.org.sg/member/info.php?cid=bengawan-solo-pte-ltd
Best Bean International Pte Ltd,705 Sims Drive #04-16B Shun Li Industrial ComplexSingapore 387384,387384,+65 6844 2298,+65 6513 2843,corporatesales@mrbean.com.sg,http://www.mrbean.com.sg/,"Founded in 1995, Mr Bean is the leading chain soya bean food & beverage retailer in Singapore today. With more than 50 stores in Singapore & Asia, Mr Bean offers a variety of soya bean drinks and snacks. Young and old can enjoy refreshing ice blended flavoured soya drinks, ice-creams, pastries and more. Today, Mr Bean prides itself on a strong corporate philosophy of placing customers' interest as our top priority as we continue to emphasize on research to produce healthy and creative products w",https://www.sfma.org.sg/member/info.php?cid=best-bean-international-pte-ltd
Best Taste Impex (S) Pte Ltd,Blk 1010 Aljunied Ave 4 #01-08Singapore 389911,389911,+65 6748 1788,+65 6749 2108,hello@besttaste.com.sg,https://www.besttaste.com.sg/,"After more than 60 years, Best Taste continues to thrive under its third generation of leaders. We continue to employ the same traditional methods of crafting Asian snacks by hand, but continuously experiments with new flavours to add to our selection of quality products. We are also uncompromising in our quality control, managing our facilities and processes very stringently and using only the best quality ingredients for your enjoyment.",https://www.sfma.org.sg/member/info.php?cid=best-taste-impex-s-pte-ltd
Bhavani Stores Private Limited,214 Syed Alwi RoadSingapore 907747,907747,+65 6291 7866,+65 6291 7366,saba.sachi@gmail.com,https://www.unclesabas.com/,"Made with more protein, more fibre, less carbs, and less saturated fats compared to potato chips, our lentil chips are the healthier choice to snack healthily, as it is cholesterol free and has no trans-fat. Our ready-to-eat poppadoms are also certified Halal, suitable for a Vegan and Gluten-Free diet, and have zero MSG in them. Uncle Saba's Poppadoms perfectly-golden ready-to-eat lentil chips are, perfect for those who prefer snacking on something more convenient and healthy, wherever they are!",https://www.sfma.org.sg/member/info.php?cid=bhavani-stores-private-limited
Bhavna Pte Ltd,5 Pereira Road #04-03 Asiawide Industrial BuildingSingapore 368025,368025,+65 6280 0110,+65 6280 0861,enquiry@bhavna.com.sg,https://www.bhavna.com.sg,"With more than 35 years of experience, over 2,500 products in our portfolio, and as one of the largest service providers for consumer goods in the region, we’ve become a leading provider in the industry, trusted by many of the world’s leading FMCG brand owners/ manufacturers. Established and headquartered in Singapore in 1985, we have subsidiaries in six strategic locations globally and an extensive supply chain network of distributors in over 75 countries around the world. We’re committed to be",https://www.sfma.org.sg/member/info.php?cid=bhavna-pte-ltd
BHF Pte Ltd,2 Senoko South Road #04-02Singapore 758096,758096,+65 6777 3500,+65 6778 1257,orders@bhf.com.sg,http://www.bhf.com.sg/,Bakery plant produce related bakery items and Healthy snacks.,https://www.sfma.org.sg/member/info.php?cid=bhf-pte-ltd
Bidfood Singapore Pte Ltd,1 Second Chin Bee Road #02-01Singapore 618768,618768,+65 6275 9275,+65 6863 3855,sales@foodpride.com.sg,https://www.foodpride.com.sg/,"At Bidfood, we simplify your food preparation requirements. As we know, our health largely depends on what we eat. In our busy schedules where we are often juggling various responsibilities, adhering to safe and healthy meals can be challenging. This is where you can rely on our Ready-to-Cook meals. Whether you are tempted for Smoked Chicken Breast or Beef Lasagna, we serve restaurant quality delicacies in the comfort of your home in under 10 minutes. We serve Halal Certified and Meat-free produ",https://www.sfma.org.sg/member/info.php?cid=bidfood-singapore-pte-ltd
Big Spring Day Seafood Trading Pte Ltd,15 Woodlands Loop #04-19Singapore 738322,738322,+65 6481 4335,-,enquiries@fishball.com.sg,https://www.fishball.com.sg/,"Big Spring Day Seafood Trading Pte Ltd was established in 2008. The founder Mr Lim Khai Guan, had 20 years of vast experience acquired with his record of experience in handling Food Production, Quality, preparing culinary products. Today, Big Spring Day Seafood Trading Pte Ltd has manufactured a wide range of fresh and handmade surimi seafood products for Yong Tau Foo, noodle soup, shabu-shabu, Hot pots and steamboats etc. We have an excellent reputation throughout the country, where our product",https://www.sfma.org.sg/member/info.php?cid=big-spring-day-seafood-trading-pte-ltd
Boon Tong Kee Food Processing Ind. Pte Ltd,22 Woodlands TerraceSingapore 738447,738447,+65 6241 0432 / +65 6242 1968,+65 6442 4869,general@boontongkee.com.sg,http://www.boontongkee.com.sg/,"In 1979, Mr Thian Boon Hua started a small stall in Chinatown serving Cantonese chicken rice. Building upon the popularity of his silky white sauce chicken rice and emphasis on quality service, he rallied his family members to establish Boon Tong Kee’s first restaurant at Balestier Road in 1983. In its second year of operation, the restaurant started to garner rave reviews and accolades from industry luminaries and customers. Before long, outlets at MacPherson Road, Whampoa West, River Valley Ro",https://www.sfma.org.sg/member/info.php?cid=boon-tong-kee-food-processing-ind-pte-ltd
Breadtalk Pte Ltd,30 Tai Seng Street #09-01Singapore 534013,534013,+65 6285 6116,+65 6285 1661,enquiry@breadtalk.com,http://www.breadtalk.com/,"Founded in 2000 and listed on the SGX in 2003, our business is about innovating and creating distinctive flavours to satisfy your palate – literally! This has earned us numerous awards and growing popularity with customers here and in other markets. In the years, we have flapped our wings across 13 countries, leaving our mark with more than 300 boutique bakeries, 40 food atriums and restaurants, supported by global staff strength of 5000 employees.",https://www.sfma.org.sg/member/info.php?cid=breadtalk-pte-ltd
Brik'T Pte Ltd,21 Merchant Road #06-16 Royal Merukh S.E.A.Singapore 058267,058267,+65 9860 5036,-,skylerqin@brikt.sg,https://www.brikt.sg,"BRIK'T is a Singapore-based company dedicated to offering a healthy and convenient beverage alternative through its freeze-dried fruit tea products made entirely from natural ingredients. Our products are designed to meet the needs of health-conscious consumers who seek natural, low-calorie drinks without the hassle of preservatives or added sugars.",https://www.sfma.org.sg/member/info.php?cid=brikt-pte-ltd
BUCHI Singapore Pte Ltd,25 International Business Park #02-65 German CentreSingapore 609916,609916,+65 6565 1175,+65 6566 7047,singapore@buchi.com,https://www.buchi.com/,Research and experimental development on medical science.,https://www.sfma.org.sg/member/info.php?cid=buchi-singapore-pte-ltd
Cairnhill Metrology Pte Ltd,5 Jalan Kilang Barat #07-05/06 Petro CentreSingapore 159349,159349,+65 6890 0041,+65 6567 5940,sg_admin@cairnhill.com,https://www.cairnhill.com/,"Cairnhill Metrology is an industrial metrology solutions provider established on 16 August 1983. Working with a long-term view, we partner with principals who are global leaders in their fields, whose strengths in technology and innovation, we complement with up-to-date uniform high standards of service delivery through our network of offices in Singapore, Malaysia, Indonesia, the Philippines and Thailand.",https://www.sfma.org.sg/member/info.php?cid=cairnhill-metrology-pte-ltd
Calgin Enterprise Pte Ltd,11 Changi South Street 3 #04-06Singapore 486122,486122,+65 6298 9412,-,calgin@singnet.com.sg,https://www.calgin.com,"Calgin Enterprises is a renowned distributor of dental, F&B (food and beverage), and hotel products in Singapore. With a rich history spanning over 60 years, we have established ourselves as a trusted and reliable partner for business in these industries. Our extensive range of products includes dental equipment and supplies, and a diverse selection of hygiene products for food and beverage, and hotel industries. We take pride in our commitment to deliver high quality products that meet the spec",https://www.sfma.org.sg/member/info.php?cid=calgin-enterprise-pte-ltd
Cambert (F.E.) Pte Ltd,1 Kim Seng Promenade #14-06 Great World CitySingapore 237994,237994,+65 6775 0600,+65 6775 1877,kohgekhwa@zuelliginvestments.com.sg,http://www.kordels.com.sg/,"Import, export, marketing and distribution of health food and other consumer products.",https://www.sfma.org.sg/member/info.php?cid=cambert-fe-pte-ltd
Candy World Marketing (S) Pte Ltd,11 Tuas Link 2Singapore 638559,638559,+65 6483 1311,-,cheechiang.chu@speedo.com.sg,https://www.candyworld.com.sg/,Importer and wholesaler of fast-moving consumer food products.,https://www.sfma.org.sg/member/info.php?cid=candy-world-marketing-s-pte-ltd
Cecilia Minced & Dried Pork Food Trading,15 Woodlands Loop #02-37Singapore 738322,738322,+65 6756 6696,+65 6752 1502,contact@xishibakkwa.com,http://www.xishibakkwa.com/,Founded in 1985 by Mr Koh Hock Bin. One of Singapore’s oldest brand of Bak Kwa till date. Specializes in creating new innovative flavours yet retaining the traditional heritage taste.,https://www.sfma.org.sg/member/info.php?cid=cecilia-minced-n-dried-pork-food-trading
Charter Capital (S) Pte Ltd,1 Yarrow Gardens Frankel EstateSingapore 455007,455007,+65 6536 1110,+65 6536 5550,biz@chartercapital.com.sg,-,Wholesale trading of agricultural product.,https://www.sfma.org.sg/member/info.php?cid=charter-capital-s-pte-ltd
Chee Seng Oil Fty (Pte) Ltd,23 Senoko South Road #01-01Singapore 758080,758080,+65 6284 1062,+65 6280 8982,csoil@cheeseng.com.sg,http://www.cheeseng-oil.com/,"CHEE SENG Sesame Oil, is rated the No.1 Selling Sesame Oil brand in Singapore from the 12-month period ending May 2016. This reading from AC Nielsen brings double joy for the company as they celebrate its 60th Anniversary in making quality Sesame Oil. Chee Seng, have been producing premium quality sesame oil for its domestic market and is a renowned household brand in Singapore. Trusted by the consumers for its excellent quality and aroma, it is no surprise that CHEE SENG is the leading brand in",https://www.sfma.org.sg/member/info.php?cid=chee-seng-oil-fty-pte-ltd
Cheng Yew Heng Candy Factory Pte Ltd,9 Chin Bee Drive #06-01 Innovate 360 BuildingSingapore 619860,619860,+65 6266 3530,+65 6266 2821,cyh@chengsugar.com,http://www.chengsugar.com/,"We are proud to be one of Singapore's oldest Sugar company that upholds values of culture, tradition and quality. Our rich history, diverse culture and dedication to quality has been the back bone to the company's success. Being a family business passed down from generations to generations to come, we value our time-tested values and cherish the relationships with all our stakeholders – employees, suppliers, business partners and customers – for the contribution they make in our success story. I",https://www.sfma.org.sg/member/info.php?cid=cheng-yew-heng-candy-factory-pte-ltd
Cheung Wo Food Supply SG Pte Ltd,60 Paya Lebar Road #07-54 Paya Lebar SquareSingapore 409051,409051,-,-,contactus@cheungwofood.com.sg,https://www.cheungwofood.com/,Food Product Import / Export / Distribution,https://www.sfma.org.sg/member/info.php?cid=cheung-wo-food-supply-sg-pte-ltd
Chew's Agriculture Pte Ltd,150 Neo Tiew RoadSingapore 719032,719032,+65 6793 7674,+65 6793 7675,sales@chewsegg.com.sg,http://www.chewsegg.com/,"Chew's Agriculture Pte Ltd is established in 1987. We produces premium grade and highly nutritious farm fresh designer eggs with lower cholesterol and vitamin E. Our eggs contain additional omega-3, omega-6, beta-carotene & vitamin A, organic selenium, zeaxanthin & lutein etc. and are SQES, Healthier Choice, Halal & HACCP Certified.",https://www.sfma.org.sg/member/info.php?cid=chews-agriculture-pte-ltd
Chia Khim Lee Food Industries Pte Ltd,119 Defu Lane 10Singapore 539230,539230,+65 6285 6488,+65 6284 7323,enquiry@cklfi.com.sg,http://www.chiakhimlee.com/,"CKL Holdings Pte Ltd, established since 1975, is a food and beverage conglomerate serving a global clientele. We are passionate about enhancing the quality of people's lives. Our vision is to be a leading international manufacturer of quality and innovative beverages and packaged food. To help us spread the love for Asian consumables worldwide, we have a wide international network that effectively distributes our products within and outside Asia. Catering to rising markets, our customer base cov",https://www.sfma.org.sg/member/info.php?cid=chia-khim-lee-food-industries-pte-ltd
Chin Boon Foodstuffs Pte Ltd,3017 Bedok North St 5 #05-21/22 Gourmet East KitchenSingapore 486121,486121,+65 6442 0791 / +65 6444 2961,-,sales@chinboon.com,http://www.chinboon.com/,"Chin Boon Foodstuffs Pte Ltd was established in 1989 by Mr. Phua Koon Heng for the increasing demand on Mee Pok and Mee Kia. For the past 18 years, we have been dedicating continuous effort to improve the taste and quality of our noodles beside daily production.",https://www.sfma.org.sg/member/info.php?cid=chin-boon-foodstuffs-pte-ltd
Chinatown Food Corporation Pte Ltd,1 Senoko Road #04/05-00 Annex BuildingSingapore 758134,758134,+65 6382 0500,+65 6382 0600,acct@chinatownfood.com.sg,https://www.chinatownfood.com.sg/,"Incorporated in 1992, Chinatown Food Corporation Pte Ltd manufactures both Oriental and non-Oriental foods under the worldwide trademarks, 'Chinatown', 'Amstar' and “JinJiLi', respectively. Chinatown Food also distributes a range of frozen desserts and snacks locally to hotel, food services and supermarkets, available in retail and caterer packs. Our specialty lies in the safe and efficient production of Glutinous Rice Balls, Sesame Balls, etc. In 2015, Chinatown Food is the first and only gluti",https://www.sfma.org.sg/member/info.php?cid=chinatown-food-corporation-pte-ltd
Chocoworks Pte Ltd,15 Jalan Tepong #03-02 Jurong Food HubSingapore 610336,610336,+65 6775 5117,+65 6775 3117,info@chocoworks.com,http://www.chocoelf.com/,"Chocoelf is an award-winning chocolate brand established in Singapore since 2005. It is a joint creation by a medical doctor and an experienced chocolatier, both Singaporeans, who wish to share the unique Singapore-style chocolates and confectionary with the rest of the world. The excellent quality of their chocolates, has won Chocoelf many accolades including the ""Singapore Prestige Brand Award"" and ""Great Singapore Food Gift Award"". Believing that ""No Sugar is better than Sugar-ed"", the focus ",https://www.sfma.org.sg/member/info.php?cid=chocoworks-pte-ltd
Chop Hup Chong Food Industries Pte Ltd,6 Senoko South RoadSingapore 758070,758070,+65 6759 0988,+65 6759 1911,enquiry@chophupchong.com.sg,http://www.chophupchong.com.sg,"We have a series of barbecued meat (Chicken, Pork & Beef) and floss (Chicken, Pork, Beef and Fish) products together with their derivatives of meat base snacks. All products have original and spicy flavor in diversified packaging like individual small pack, gift box and wholesaler packaging. The barbecued meat in vacuum packed as a ready-to-eat snack for everyone. Besides these, we provide OEM services according to requested packaging and specifications. Our R&D team can also render service in c",https://www.sfma.org.sg/member/info.php?cid=chop-hup-chong-food-industries-pte-ltd
Chuan Hiap Hin Sauce Factory Pte Ltd,21 Pandan Loop #01-171Singapore 128239,128239,+65 6779 5082,+65 6775 5857,chhsf@singnet.com.sg,-,"Sauce and Condiment Wholesale Supplier. We manufacture and supply various types of Soy Sauce, Sweet Sauce and Vinegar. We provide contract manufacturing and OEM re-packaging.",https://www.sfma.org.sg/member/info.php?cid=chuan-hiap-hin-sauce-factory-pte-ltd
Chuen Cheong Food Industries (Pte) Ltd,23 Senoko South Road #01-06Singapore 758080,758080,+65 6285 1501,+65 6284 2753,chia.wengsoon@tigersauce.com.sg,http://www.chuencheong.com/,"Chuen Cheong Food Industries (Pte) Ltd was found in Singapore in the year 1930; producing well-known ""TIGER BRAND"" condiments. Its products include Light and Dark Soya Sauce, Salted Soya Beans, Chilli Sauce, Vinegar, etc… Soya Sauce is brewed naturally by Chinese traditional recipes and has been handed down from generations. Chuen Cheong Food Industries (M) Sdn Bhd is registered in Malaysia as a limited company in July 1995. It is a wholly owned subsidiary of Chuen Cheong Food Industries (Pte) L",https://www.sfma.org.sg/member/info.php?cid=chuen-cheong-food-industries-pte-ltd
Chui Hiang Pte Ltd,26 Senoko CrescentSingapore 758277,758277,+65 6756 6328,+65 6756 8069,info@chuihiang.com.sg,http://www.chuihiang.com.sg/,"Chui Hiang Pte Ltd is a manufacturer of Snacks and Nuts since 1955. Products manufactured included Prawn Crackers, Combe Chips, a variety of Nuts, Beans and Peas.",https://www.sfma.org.sg/member/info.php?cid=chui-hiang-pte-ltd
