"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Singapore Association of Pharmaceutical Industries","The Singapore Association of Pharmaceutical Industries (SAPI) aims to make innovative medicines accessible to patients in Singapore through a sustainable and valued partnership with healthcare professionals and providers, government and patient group stakeholders, and a reputation of consistent ethical behavior.","Pharmaceutical Manufacturing","2-10 employees","Non Profit","Singapore","Singapore","sapi.org.sg","https://www.linkedin.com/company/sapisingapore"
,"Gaia Foods","Conscious consumers who are connoisseurs of Asian cuisine have limited to no options for ethically produced meat in culturally-appropriate forms. That's why Gaia Foods is using stem cell technology to produce real meat - without killing animals, without damaging our environment, and without producing exorbitant amounts of waste.","Food and Beverage Manufacturing","2-10 employees","Privately Held","singapore, singapore","Singapore","gaia-foods.co","https://www.linkedin.com/company/gaiafoods"
,"Axis Petrochem Pte. Ltd.","Axis Petrochem Pte Ltd, based in Singapore is a petrochemical distributor and marketer of lubricant raw materials with trade partners throughout Asia-Pacific; with decades of experience in the lubricants industry.

We are the distributor of Italmatch Chemicals, Polartech, Elco Corporation, Addapt Chemicals, Pertamina Lubricants with products ranging from Polymeric & Conventional Esters, a full range of Metal Working Fluid additives ranging from packages to components, Lubricant additives, Polyisobutene, and liquid viscosity modifiers.

We provide total complete comprehensive integrated solutions for your lubricant needs. We offer dedicated, customised solution for your needs. From supply, sourcing, consulting, logistic, warehousing, licensing, processes to your door in one integrated model suited to your unique individual need.","Chemical Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","axis-petrochem.com","https://www.linkedin.com/company/axis-petrochem"
,"One BioMed Pte Ltd","We are a molecular life science company dedicated to advancing human health through innovation. By designing and building breakthrough molecular platforms that are both accessible and best-in-class, One BioMed is providing biomedical researchers and clinicians with unprecedented access to cutting-edge tools.","Medical Equipment Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","onebiomed.com","https://www.linkedin.com/company/one-biomed-pte-ltd"
,"The Western Balkans: Pharma Market Access","The Western Balkans: Pharma Market Access","Pharmaceutical Manufacturing","2-10 employees","Self Owned","Singapore","Singapore","pharmathing.com","https://www.linkedin.com/company/the-western-balkans"
,"EP POWER","EP-POWER have the expertise to design and deliver a reliable Power Solutions to meet your power requirements. The manufacturing know-how to meet your quality requirement and the professional team to support your business needs.

With total commitment to ensure best quality along with our well-known philosophy of ""Customer First"", we strive to provide our customers with first class products and services, and to expand our presents in the market.","Appliances, Electrical, and Electronics Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","ep-power.com","https://www.linkedin.com/company/ep-power"
,"Singapore Precision Engineering And Technology Association","Celebrating 40 years of history, SPETA is a forefront trade association serving and driving the precision engineering community towards adoption of advance manufacturing technology and Industry 4.0. Currently, SPETA has more than 300 active members comprising of both locally registered SMEs and MNCs engaging in the manufacturing and distribution of precision engineering components, products, tools, equipment and machinery supporting diverse industries from aerospace, automotive, medical to semiconductor.","Manufacturing","2-10 employees","Non Profit","Singapore","Singapore","speta.org","https://www.linkedin.com/company/spetasg"
,"Roceso Technologies","Roceso Technologies is a Singapore based medical device company offering wearable robotic solutions to bring independence and dignity back to people's life. Our product EsoGlove is a wearable glove that provides assistance to the hand movements during rehabilitation and activities of daily living. 

Roceso Technologies aim to become a leading technology firm providing cutting-edge medical and assistive technologies. We aspire to enhance people’s life around the world with our talented people and evolving technologies.","Medical Equipment Manufacturing","2-10 employees","Privately Held","Singapore, Central Singapore","Singapore","roceso.com","https://www.linkedin.com/company/roceso-technologies-pte-ltd"
,"Craft Health","Craft Health is a Pharmaceutical Drug Delivery company, enabled by 3D Printed Solutions","Pharmaceutical Manufacturing","2-10 employees","Privately Held","Singapore, Singapore","Singapore","crafthealth.me","https://www.linkedin.com/company/craft-health"
,"Pan-Asian Clinical Research Association (PACRA)","PACRA Website - www.pacra.org
info@pacra.org

PACRA – Mission Statement
Pan Asian Clinical Research Association (PACRA) is a non-profit division within ACROSS Global focused on the provision of training, education, quality assurance, and consultancy across the breadth and depth of Clinical Research related activities.

PACRA – Vision Statement
To be a respected and recognized professional organization supporting the efforts to promote quality Clinical Research across Asia.","Pharmaceutical Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","pacra.org","https://www.linkedin.com/company/pan-asian-clinical-research-association-pacra-"
,"PDA Singapore Chapter","PDA Singapore Chapter is a local Chapter of Parenteral Drug Association (www.pda.org).","Pharmaceutical Manufacturing","2-10 employees","Educational","Singapore","Singapore","pda.org","https://www.linkedin.com/company/pdasgchapter"
,"Hegg","Hegg is a Singapore-headquartered startup that aims to be the global leader that makes plant-based eggs a local staple.

We believe in empowering people - regardless of their cultural backgrounds and dietary preferences - to have a fulfilling plant-based journey by making our eggless products delicious, healthy, and inclusive.

Whether you are a baker, chef, restaurant owner or home cook, we've got you covered!

For enquiries, contact hello@eathegg.com","Food and Beverage Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","eathegg.com","https://www.linkedin.com/company/eathegg"
,"COALITION OF ITALIAN MANUFACTURERS (Asia-Pacific)","COALITION OF ITALIAN MANUFACTURERS is an extension of the export department of Italy's major FMCG manufacturers and operates as an overseas commercial and logistic office for its member companies. It currently manages 53 brands, 19 of which are Italy's no.1 in their category, with a cumulative global sell-out value exceeding €2bn.

We are structure in 4 divisions:
1) Management Consulting
2) Manufacturing (Licensed brands only)
3) Distribution
4) Design

• THE ITALIAN SHOWROOM Pte. Ltd. (launched in 2014 - Holding company) is the world's first physical space created in Singapore and financed by a group of leading Italian FMCG manufacturers, to showcase their brands and products, connect with distributors, manufacturers and retailers operating in the Asia-Pacific region and facilitate their business operations in the South East Asian countries. The website features the world's first Italian Product Showcase with over 600 of Italy's best health & beauty products.
www.theitalianshowroom.com

• ITALIAN COALITION Pte. Ltd. (launched in 2019, 100% owned trading company of THE ITALIAN SHOWROOM Pte. Ltd.) operates as a group of Italian manufacturers that capitalise on a collectively established commercial network in Asia-Pacific and share common resources to optimise costs and maximise their usage. It engages in direct distribution (indent model only) with Asia-Pacific retailers and supply with a single account a variety of top Italian products and brands.
www.italiancoalition.com

• CONTACT US: info@italiancoalition.com","Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","italiancoalition.com","https://www.linkedin.com/company/the-italian-showroom"
,"Urban Tiller","Urban TIller is WORLD's FIRST and ONLY Leafstock agnostic leaf protein company. Our mission to accelerate adoption of plant based foods by supplying novel ingredient Rubisco, the most abundant and most sustainable plant protein in the world. We are a B2B novel ingredient company supplying leaf protein and fibre extracted from a variety of leaves. 

We have developed a proprietary process to extract Rubisco (Ribulose-1,5-bisphosphate carboxylase-oxygenas), the world’s most abundant and high-quality leaf protein from a wide variety of green leaves. RuBisCo also displays promising techno-functional properties, such as a high foam volume and stability and a heat-induced gelation at low protein content. This makes Rubisco an ideal candidate not just as a key protein source but also a great additive to vegan and alternate protein products.","Food and Beverage Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","urbantiller.com","https://www.linkedin.com/company/urban-tiller-singapore"
,"D.LAB Dezign Laboratories","At D.LAB Dezign Laboratories, we’re proud to be a home-grown Singapore brand with a clear mission: to bring cutting-edge IT and consumer electronics to the Asia Pacific region. We work closely with trusted factories to deliver high-quality, trendsetting products to ASEAN markets—and beyond.

We continue to collaborate with factories on ODM development for the D.LAB brand, while also supporting the distribution of China factory brands. At the same time, we’re actively seeking overseas distributors for the D.LAB brand, expanding our global footprint beyond Singapore.

Our Two-Pronged Strategy:

B2C:
We offer an integrated distribution strategy that spans both online e-commerce platforms and physical retail stores—making D.LAB products accessible to consumers throughout the region.

B2B:
We specialize in end-to-end contract manufacturing services for global companies in the IT and consumer electronics space. From design and prototyping to mass production and supply chain management—we’ve got you covered.
---
Join the D.LAB Community:
Stay connected with us and follow our journey!

 Website: www.dezign-lab.com
 WhatsApp: +65 9380 6108
Facebook
https://www.facebook.com/share/19Rr3er3BJ/

Instagram: @dlablaboratories

TikTok
https://www.tiktok.com/@d.lab_manufacturing?_t=ZS-8vkKppechB2&_r=1

YouTube
https://youtube.com/@d.lab-dezign-laboratories?si=X0Hv5jhpAg7o5Mfm

Google Reviews
https://g.page/r/CXiFkPPZOeuaEBE/review

Thank you for supporting local innovation. Together, let’s shape the future of tech.

Happy New Year 2025 from all of us at D.LAB!
#DLAB2025 #TechForTomorrow #GlobalExpansion #DlabAtGlobalSources #SingaporeBrand #InnovationInAsia","Appliances, Electrical, and Electronics Manufacturing","2-10 employees","Self Owned","Singapore, Singapore","Singapore","dezign-lab.com","https://www.linkedin.com/company/d-lab-dezign-laboratories"
,"Willing Hearts","A secular, non-affiliated charity, Willing Hearts is wholly run by volunteers, apart from a handful of staff. It operates a soup kitchen that prepares, cooks and distributes about 6,500 daily meals to over 40 locations island wide, 365 days a year. Beneficiaries include the elderly, the disabled, low income families, children from single parent families or otherwise poverty stricken families, and migrant workers in Singapore.

Willing Hearts is a registered as a society with the Ministry of Home Affairs since February 2005 and as a charity with the Ministry of Ministry of Social and Family Development since December 2008.

Vision
Improving the lives of the underprivileged and marginalized by providing them with their “daily bread” and to help them become useful members of our society.

Mission
To provide daily meals and other support services to the underprivileged, the needy, and other marginalized members in Singapore, and to assist and guide them towards rehabilitating and reinstating themselves as useful members of our society.","Food and Beverage Manufacturing","2-10 employees","Non Profit","Singapore","Singapore","willinghearts.org.sg","https://www.linkedin.com/company/willing-hearts-sg"
,"XXX","XXX","Medical Equipment Manufacturing","2-10 employees","Privately Held","SG","Singapore",,"https://www.linkedin.com/company/xxxxxx111111"
,"Supercraft3D","Supercraft3D is an Additive Manufacturer service bureau with focus on Healthcare and Medical applications. 

Our offerings:

Medical Models: We offer comprehensive patient specific visualization solutions that help hospitals, doctors and the academicians get a unique perspective about the anatomy. Using sophisticated hardware and software, we are able to convert traditional X-Ray, MRI, CT and other diagnostic images into clear transparent 3D Models, at a fraction of the cost and in most cases within 24 Hrs. These models are highly accurate and help the doctor to plan a better surgery, as well as the patient to understand his anatomy before undergoing any hospitalization. These models can also act as evidence in any medico-legal situation. 

Implants: Supercraft3D is also the first company in Asia to be able to offer Additive Manufactured customized body implants made of bio-compatible Titanium alloy. Currently, we are able to offer implants for patients with special needs of the physician’s practice or specific to the patient’s unique physiological/pathology needs. We are also working towards FDA and CE approval for all other implants. 

Surgical Instruments: Along with customized Medical Models and Implants, we understand the unique need for customized surgical instruments and guides for special surgeries. We offer doctor or patient specific instruments and guides that can be manufactured for single or repeatable use in different bio-compatible materials.","Medical Equipment Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","supercraft3d.com","https://www.linkedin.com/company/supercraft3d"
,"FMCG Consulting","FMCG consulting provides confidential technical consulting services in the FMCG sector.

Key product sector focus areas are:

  - Baby Diapers
  - Adult Diapers
  - Feminine hygiene
  - Tissue/Towel/Napkin

Key technical focus areas are:

  - High speed current generation production systems up-to 1500 ppm (baby diaper).
  - High speed next generation production systems up-to 3000 ppm (baby diaper).
  - 4D & 5D SAP printing.
  - FMCG customisation.
  - Advanced factory design (hygiene sector focused) using latest architectural methodology to maximise organisational effectiveness, operational efficiency, total supply chain efficiency and brand awareness.
  - Next generation FMCG off-line utility interface.
  - Next generation reclaim/recycling technology.
  - Low cost geo-thermal HVAC.
  - Strategic decision-making ""Automation verses outsourcing"".
  - Outsourcing (´Focus on China & South East Asia). 
  - Robust Automation & efficiency improvements.
  - Breakthrough process design.
  - Digital Manufacturing.
  - Innovation processes from front-end of innovation to go-to-market.
  - Managing technically complex, innovation programs & launches.
  - New business development.","Manufacturing","2-10 employees","Privately Held","Singapore, Singapore","Singapore","fmcgconsulting.biz","https://www.linkedin.com/company/fmcg-consulting"
,"the moonbeam co.","connecting food waste to consumer demands","Food and Beverage Manufacturing","2-10 employees","Self Employed","Queenstown, Central Region","Singapore","themoonbeam.co","https://www.linkedin.com/company/themoonbeam.co"
,"Nousq Pte Ltd","NousQ Pte Ltd is a Singapore start-up company that pivoted in July 2021 to design, develop, manufacture and commercialise medical technology and devices for patients.

NousQ aims to provide patient-centric medical solutions that patients really want and need.

We aspire not only to innovate to optimize healthcare delivery for existing patients, but also to meet the needs of the many millions of patients who cannot access care currently.

With valued stakeholders we partner for a robust and sustainable enterprise, we want to give hope to patients all over the world.

The company closed its Seed Round of funding of over USD 1.2 million in Oct 2021.

First-in-man pilot clinical trial for its Clikx device will commence in 2022 in Singapore","Medical Equipment Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","nousq.com","https://www.linkedin.com/company/nousq-pte-ltd"
,"Ding Xin Precision Engineering & Design","Your One-Stop CNC Machining Partner in Singapore
Ding Xin Precision Engineering & Design was established in 2010, specialising in high precision CNC machining services. We proudly support a wide range of industries such as Automotive, Medical, Semiconductor, and Offshore Oil & Gas—delivering cost-effective, high-quality solutions with a strong commitment to on-time delivery.
 Small to large batch machining
 Fast turnaround for urgent orders
 Reliable quality and customer service
Whether you need rapid prototyping or full-scale production, our team is ready to support your project with precision and efficiency.

 Send your enquiry to: dingxinprecisionengineering@gmail.com
 Visit us at: https://dingxinprecisionen.wixsite.com/dingxin","Industrial Machinery Manufacturing","2-10 employees","Partnership","Singapore","Singapore",,"https://www.linkedin.com/company/ding-xin-precision-engineering-design"
,"Rebee Health","XCLR8 Technologies is an innovative HealthTech company that develops wearable sensors and applications to enable remote physiotherapy. We are leveraging on latest IoT technologies to increase convenience for patients, increase recovery speed and reduce costs for physical therapy. Similarly we provide a solution to practitioners to reach more patients, reduce operating costs and add additional revenue streams.","Medical Equipment Manufacturing","2-10 employees","Privately Held","singapore","Singapore","rebeehealth.com","https://www.linkedin.com/company/rebeehealth"
,"HIRANYAVARNAAM CHEMICALS AND ALKALIS PTE LTD","Hiranyavarnaam Chemicals & Alkalis Pte. Ltd. is headquartered in Singapore and was established in 2009. After 25 years experience in distribution of Caustic Soda this venture was promoted to add value to customers buying process of Caustic Soda and Chlorine Derivatives and to be Global Traders.We are trading Caustic Soda and Chlorine Derivatives world-wide and have a strong commercial presence in Europe, Asia, Middle East and Africa.

We trade 300,000 MT of liquid Caustic Soda globally. 

Our Customers are spread across Finland, Belgium, France, Netherlands, Germany, Italy in Europe and Thailand, Indonesia, Malaysia, Vietnam, Turkey, India, South Africa.","Chemical Manufacturing","2-10 employees","Privately Held","Singapore, Singapore","Singapore","hiranyavarnaamalkalis.com","https://www.linkedin.com/company/hiranyavarnaam-chemicals-and-alkalis-pte-limited"
,"ShaftRise Engineering & Services","ShaftRise is your trusted partner for precision alignment and diesel engine services. We take pride in delivering specialized, prompt, and dependable support, maintenance, and repair solutions tailored to the unique needs of our clients. With a commitment to excellence, we offer a comprehensive range of services that include Laser Alignment, Geometrical Survey, Dimensional Survey, 3D Measurement, and 3D Scanning.

Our Expertise:
Our expertise spans across a wide array of industries, making us a versatile and reliable choice for businesses worldwide. We excel in serving the following sectors:

- Marine
- Offshore
- Oil & Gas
- Stationary Power
- Petrochemical/Refineries
- Mining
- Shipyards/Shipbuilding
- Hydro-Electric Power
- Wind Power
- Manufacturing/Other Industrial

Why Precision Alignment & Measurement Matters:

At ShaftRise, we understand the critical role that precision alignment of equipment and process lines plays in enhancing operational efficiency. Proper alignment of production machinery translates to:

- Increased Productivity
- Reduced Downtime
- Lower Scrap Rates
- Improved Overall Product Quality

The result? A rapid and substantial return on investment for our clients.

Our Approach:

We pride ourselves on aligning our capabilities with the specific needs of our clients. ShaftRise seamlessly integrates into your processes, becoming an integral part of achieving favourable outcomes. Our dedicated service team consists of highly motivated, well-trained, and globally certified professionals who excel in executing onshore and offshore assignments with precision and efficiency.

Connect with us to discover how ShaftRise Engineering & Services can elevate your industry by providing the precision and reliability you need. Let's embark on a journey towards operational excellence together! ","Industrial Machinery Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","shaftrise.com","https://www.linkedin.com/company/shaftrise-engineering-services"
,"Epoxy And Equipment Technology Pte Ltd","Epoxy And Equipment Technology Pte Ltd aims to provide total solutions for the handling and curing of a wide range of fluid material for electronic applications.","Appliances, Electrical, and Electronics Manufacturing","2-10 employees","Privately Held","Jurong East","Singapore","eetdispensing.com","https://www.linkedin.com/company/epoxy-and-equipment-technology-pte-ltd"
,"Mycosortia","Here's a LinkedIn company overview summarizing Mycosortia in one paragraph:
Mycosortia is a pioneering food technology company specializing in upcycling food waste into high-value, plant-based ingredients. Our proprietary microbial biotransformation technology transforms food side streams into FibProt, a sustainable and versatile ingredient with applications in plant-based foods, confectionery, and flavoring. We partner with B2B customers to supply FibProt as a clean-label solution and also develop and market innovative, sustainable food products like plant-based cheese and cocoa-free chocolate-like treats through B2B2C channels. Join us in revolutionizing the food system and creating a more sustainable future.","Food and Beverage Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","mycosortia.com","https://www.linkedin.com/company/mycosortia"
,"Cortec Southeast Asia","Environmentally Friendly VpCI and MCI Technologies!","Chemical Manufacturing","2-10 employees","Privately Held","Singapore, Singapore","Singapore","cortecvci.com","https://www.linkedin.com/company/cortec-southeast-asia"
,"Meatiply","Meatiply is an innovative company developing and producing cultivated meat cuts, with a focus on Asian cuisines. We conduct cutting-edge research with the vision of generating healthier and more environmentally-friendly products that mimic the taste and texture of conventional meat.","Food and Beverage Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","meatiply.com","https://www.linkedin.com/company/meatiply"
,"Fiori Asia Pacific","FIORI ASIA PACIFIC PTE LTD, Singapore is a wholly owned subsidiary of FIORI GROUP S.p.A. Italy. Started in 2012, this branch is responsible for FIORI business in the Asia Pacific and SAARC region and has established its presence in over 12 countries till now.

FIORI GROUP, Italy, designs, develops and manufactures off-road vehicles in the following categories:

- Self-Loading Mobile Concrete Mixer
- Reversible Site Dumper
- Concrete Transit Mixer for Tunnels
- Portable Horizontal Cement Silos

The company's product portfolio is complemented by the group's ability to seek the most effective solutions for each customer to produce and transport concrete on site, reducing energy costs and environmental impact. These products are used in many countries across the globe and are represented by over 60 dealers.

FIORI Asia Pacific Pte Ltd has established the presence of FIORI products in countries such as Singapore, Indonesia, Myanmar, Vietnam, Philippines, Bangladesh, Nepal, Bhutan, Sri Lanka, Maldives, Australia, New Zealand & Korea. Many challenging jobs have been handled effortlessly by FIORI products in these countries.

FIORI Mixers have played a key role in many countries in construction of Rural roads, Bridges, Canals, Irrigation check dams, Community housing, Industrial sheds, Tunnels, Airport expansion jobs, Poultry factories, Fishing ports etc to name a few.

We have dealers in most of the countries we represent in this region. The product is well supported by the Regional Service manager based in Singapore and an able After Sales Service Team present with every dealer.","Machinery Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","fioriasiapacific.com","https://www.linkedin.com/company/fiori-asia-pacific"
,"WEICON South East Asia Pte Ltd","Since 1947, WEICON GmbH & Co. KG has been producing speciality products for the industry in Germany. The range of products includes special adhesives and sealants, technical sprays and high-performance assembly pastes and greases for all areas of industry - from production over repair up to maintenance. Another field of activity is the development, sales and distribution of stripping tools.
The company headquarters is located in Muenster, Germany. WEICON has subsidiaries in Dubai, Canada, Turkey, Romania, South Africa, Singapore, the Czech Republic, Spain and Italy. The company is represented by WEICON partners in more than 120 countries all over the world.","Chemical Manufacturing","2-10 employees","Public Company","Singapore 627608","Singapore","weicon.com.sg","https://www.linkedin.com/company/weicon-south-east-asia"
,"HiCura Medical Pte Ltd","We empower medical professionals by using AI to enable automatic image-based guidance during medical procedures. Our product, uSINE, improves ultrasound visualization and identification of the epidural space so anesthesiologists can be guided to the precise needle location during epidural or spinal anaesthesia. uSINE offers better patient safety by achieving very high success rate at the 1st needle puncture attempt.

We are a medical device company based in Singapore. Our vision is to reinvent the gold standard in healthcare by building intelligent solutions.","Medical Equipment Manufacturing","2-10 employees","Privately Held","Singapore","Singapore","hicuramedical.com","https://www.linkedin.com/company/hicura-medical-pte-ltd"
,"Le-Plus Solutions Pte. Ltd.","LE-PLUS SOLUTIONS PTE. LTD. is your one-stop solution for all your precision machining needs. We specialize in CNC-machining of complex medium-size components, in a high-mix low-volume environment.
We rely on over 30 years of industry experience and knowledge to provide world-class engineering solutions to a wide variety of industries that include the semiconductor, biomedical, oil & gas, and commercial aerospace industries.

We partner with our customers to deliver the most innovative solutions, before and after-sales service. Leading industry players trust us to solve even the most complex business challenges, as we continually evolve and scale to meet each customer’s unique needs. We’re honored to work with these top brands to not only drive revenue and profit improvements but also enhance the customers' experience.

Le-Plus Solutions Pte. Ltd. believes in being customer-centric, it means more than just offering a good product or staffing a contact center. It becomes a cultural way of life for the company and impacts everything from employee engagement to customer experience. Le-Plus Solutions Pte. Ltd. is laser-focused on providing amazing experiences for every customer of ours!","Industrial Machinery Manufacturing","2-10 employees","Privately Held","Singapore, SINGAPORE","Singapore",,"https://www.linkedin.com/company/le-plus-solutions-pte-ltd"
